conf_bucket,count,bad_count,conf_score_range_min,conf_score_range_max,feature_risk_auc,raw_stability_score_auc,residualized_stability_auc,stability_residual_final_auc,confidence_edge_score_auc,resid_auc_minus_conf_auc
0,46858,15238,0.6523282527923584,0.936112105846405,0.48854730745292957,0.5975358602810528,0.5936899352122373,0.6152664223541814,0.6081849393793057,0.0070814829748756525
1,46858,19518,0.9361164569854736,1.0372610092163086,0.29797860890774164,0.6533325595648097,0.6496575572991614,0.5461267900588529,0.5247491961165328,0.021377593942320083
2,46856,23181,1.037265419960022,1.127801775932312,0.3026283605255679,0.6075824350377614,0.6045941914251134,0.5281878520200541,0.5238427731410045,0.004345078879049669
3,46858,25754,1.1278060674667358,1.2256488800048828,0.2880643079918159,0.5884309016410767,0.5828204281537517,0.5219895832149675,0.5123055992891983,0.00968398392576919
4,46856,21768,1.2256661653518677,1.4922016859054565,0.15809671254501317,0.5579998217007482,0.5502367956597262,0.49263046666692445,0.3767682557104981,0.11586221095642635
