conf_bucket,count,bad_count,conf_score_range_min,conf_score_range_max,feature_risk_auc,raw_stability_score_auc,residualized_stability_auc,stability_residual_final_auc,confidence_edge_score_auc,resid_auc_minus_conf_auc
0,140799,1749,0.0017491435864940286,0.4455054998397827,0.6686730014109876,0.5189094934609986,0.5189456984614829,0.6846859406381908,0.6842221917943967,0.0004637488437940762
1,140797,8170,0.44550982117652893,0.6476340889930725,0.6645318850478218,0.43753040052813197,0.4412747416833576,0.6591020044352031,0.6262246133838932,0.03287739105130982
2,140799,27733,0.6476384401321411,0.8567696809768677,0.6240087677342102,0.46618290279104413,0.47111596810053774,0.6517100786959265,0.6118251129125034,0.03988496578342304
3,140802,55768,0.8567740321159363,1.0591195821762085,0.4800394885671846,0.5588369213648471,0.5599790907765426,0.5825406041984634,0.5466278179632481,0.03591278623521532
4,140793,69030,1.0591238737106323,1.4979737997055054,0.25523699605879724,0.5765787284354758,0.5709085601558281,0.4971337707789404,0.4614696350804756,0.03566413569846477
