dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,b0_count,b0_bad_count,b0_fo_prune_count,b0_fo_bad_prune_count,b0_fo_precision,b0_fo_recall,b0_fo_f1,b0_sr_prune_count,b0_sr_bad_prune_count,b0_sr_precision,b0_sr_recall,b0_sr_f1,b0_feature_risk_auc,b0_raw_stability_auc,b0_residual_auc,b0_both_pruned,b0_fo_only_pruned,b0_sr_only_pruned,b0_fo_only_bad_count,b0_sr_only_bad_count,b0_fo_only_bad_rate,b0_sr_only_bad_rate,b1_count,b1_bad_count,b1_fo_prune_count,b1_fo_bad_prune_count,b1_fo_precision,b1_fo_recall,b1_fo_f1,b1_sr_prune_count,b1_sr_bad_prune_count,b1_sr_precision,b1_sr_recall,b1_sr_f1,b1_feature_risk_auc,b1_raw_stability_auc,b1_residual_auc,b1_both_pruned,b1_fo_only_pruned,b1_sr_only_pruned,b1_fo_only_bad_count,b1_sr_only_bad_count,b1_fo_only_bad_rate,b1_sr_only_bad_rate,b2_count,b2_bad_count,b2_fo_prune_count,b2_fo_bad_prune_count,b2_fo_precision,b2_fo_recall,b2_fo_f1,b2_sr_prune_count,b2_sr_bad_prune_count,b2_sr_precision,b2_sr_recall,b2_sr_f1,b2_feature_risk_auc,b2_raw_stability_auc,b2_residual_auc,b2_both_pruned,b2_fo_only_pruned,b2_sr_only_pruned,b2_fo_only_bad_count,b2_sr_only_bad_count,b2_fo_only_bad_rate,b2_sr_only_bad_rate,phase,projection_ratio,projection_beta,residual_feature_sim_corr,alpha,abstention_fraction,gradient_confidence_mean
Cora,feature_similar_cross_class,0.3,0,Feature+Shuffled Stability,feature_plus_shuffled_stability,GCN,0.641,0.6199270266131798,0.642,0.16326530612244897,0.14150347441566646,0.15160744500846024,0.19997084973036006,0.6230869889259338,0.6228821277618408,13722,10978,0.7808599472045898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,0.5,,
Cora,feature_similar_cross_class,0.3,0,Feature+Permuted Stability,feature_plus_permuted_stability,GCN,0.626,0.5938919235884745,0.634,0.20845481049562684,0.180669614655717,0.19357021996615906,0.19997084973036006,0.6230869889259338,0.6285297870635986,13722,10978,0.9461803436279297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,0.00875054020434618,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.595,0.5795106187435095,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7626774311065674,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,0.15472771857934517,0.5395092400642085,0.5306714876866363,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature+Residual-LowOnly,bucket_gated_residual,GCN,0.616,0.58880542748396,0.594,0.08746355685131195,0.07580543272267846,0.08121827411167513,0.19997084973036006,0.6230869889259338,0.6066678762435913,13722,10978,0.7524278163909912,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.16666666666666666,0.006578947368421052,0.012658227848101266,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,12.0,0.0,2.0,0.0,0.16666666666666666,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,2732.0,238.0,0.08711566617862372,0.19701986754966888,0.12081218274111677,0.15472771857934517,0.5395092400642085,0.5306714876866363,2728.0,16.0,4.0,8.0,4.0,0.5,1.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature+Residual-MediumOnly,bucket_gated_residual,GCN,0.63,0.6292644852088564,0.626,0.17201166180758018,0.1490840176879343,0.15972927241962775,0.19997084973036006,0.6230869889259338,0.6239752173423767,13722,10978,1.139075756072998,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,1164.0,472.0,0.4054982817869416,0.28536880290205563,0.33498935415188075,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,1164.0,0.0,472.0,0.0,0.4054982817869416,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,1580.0,0.0,0.0,0.0,0.0,0.15472771857934517,0.5395092400642085,0.5306714876866363,1580.0,1164.0,0.0,242.0,0.0,0.20790378006872853,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature+Residual-HighOnly,bucket_gated_residual,GCN,0.631,0.6079667361619379,0.624,0.2033527696793003,0.17624763108022742,0.18883248730964466,0.19997084973036006,0.6230869889259338,0.6334487199783325,13722,10978,0.7704365253448486,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,2744.0,558.0,0.2033527696793003,0.46192052980132453,0.2823886639676113,0.15472771857934517,0.5395092400642085,0.5306714876866363,1996.0,748.0,748.0,108.0,424.0,0.1443850267379679,0.5668449197860963,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature+Stability,feature_plus_stability,GCN,0.623,0.6138443864689408,0.636,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6414647102355957,13722,10978,0.7388296127319336,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,228.0,122.0,0.5350877192982456,0.07376058041112454,0.1296493092454835,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,228.0,0.0,122.0,0.0,0.5350877192982456,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,2516.0,546.0,0.21701112877583467,0.4519867549668874,0.2932330827067669,0.15472771857934517,0.5395092400642085,0.5306714876866363,1822.0,922.0,694.0,112.0,416.0,0.12147505422993492,0.5994236311239193,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual_full,GCN,0.627,0.6164127960425821,0.638,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6414647102355957,13722,10978,0.7487883567810059,4580.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600999766136576,0.513277903599035,0.5205522869381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,1654.0,0.0,0.0,0.0,0.0,0.0,228.0,122.0,0.5350877192982456,0.07376058041112454,0.1296493092454835,0.6108515505559206,0.508772680381581,0.5118880797128941,0.0,0.0,228.0,0.0,122.0,0.0,0.5350877192982456,4492.0,1208.0,2744.0,242.0,0.08819241982507289,0.20033112582781457,0.12246963562753037,2516.0,546.0,0.21701112877583467,0.4519867549668874,0.2932330827067669,0.15472771857934517,0.5395092400642085,0.5306714876866363,1822.0,922.0,694.0,112.0,416.0,0.12147505422993492,0.5994236311239193,P0,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.615,0.5898827156297356,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7470262050628662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature+Confidence,feature_plus_confidence,GCN,0.63,0.6292350808665803,0.656,0.2988338192419825,0.25900189513581806,0.27749576988155666,0.19997084973036006,0.6230869889259338,0.6607760787010193,13722,10978,0.9489002227783203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,0.0002952946815639734,,,,,
