dataset,noise_type,seed,pair,spearman_corr,spearman_p
Cora,cross_class_oracle,5,feature_vs_raw_grad,0.054129085211724756,2.2270613532956718e-10
Cora,cross_class_oracle,5,feature_vs_pos_grad,0.06269096035004516,1.978522980194903e-13
Cora,cross_class_oracle,5,feature_vs_neg_grad,-0.00961124322913319,0.26025293246646364
Cora,cross_class_oracle,5,feature_vs_hybrid,0.929986928429034,0.0
Cora,cross_class_oracle,6,feature_vs_raw_grad,0.05521148476254196,9.679573996445347e-11
Cora,cross_class_oracle,6,feature_vs_pos_grad,0.062127550336407045,3.2393648529054063e-13
Cora,cross_class_oracle,6,feature_vs_neg_grad,-0.009184248746501719,0.28202735160257186
Cora,cross_class_oracle,6,feature_vs_hybrid,0.9322570570925279,0.0
Cora,cross_class_oracle,7,feature_vs_raw_grad,0.0504416738433626,3.379575276678648e-09
Cora,cross_class_oracle,7,feature_vs_pos_grad,0.06558821487201898,1.4639320979320034e-14
Cora,cross_class_oracle,7,feature_vs_neg_grad,0.004885815596177351,0.5671320854385553
Cora,cross_class_oracle,7,feature_vs_hybrid,0.9323221868655126,0.0
Cora,cross_class_oracle,8,feature_vs_raw_grad,0.04757595369595596,2.46477690410392e-08
Cora,cross_class_oracle,8,feature_vs_pos_grad,0.056421202958708595,3.743266233923714e-11
Cora,cross_class_oracle,8,feature_vs_neg_grad,-0.00541707580719936,0.5257492147537732
Cora,cross_class_oracle,8,feature_vs_hybrid,0.9312796381007337,0.0
Cora,cross_class_oracle,9,feature_vs_raw_grad,0.05932751944171899,3.5212516847615244e-12
Cora,cross_class_oracle,9,feature_vs_pos_grad,0.07506783318703748,1.3068854954743904e-18
Cora,cross_class_oracle,9,feature_vs_neg_grad,0.005737195013415839,0.5015806867571161
Cora,cross_class_oracle,9,feature_vs_hybrid,0.9323052606133582,0.0
Cora,low_feature_similarity,0,feature_vs_raw_grad,0.024738011205601842,0.003755345774991535
Cora,low_feature_similarity,0,feature_vs_pos_grad,0.028631752681921425,0.0007955669534779065
Cora,low_feature_similarity,0,feature_vs_neg_grad,-0.002220584643234148,0.7947881820696258
Cora,low_feature_similarity,0,feature_vs_hybrid,0.9240583894513604,0.0
Cora,low_feature_similarity,1,feature_vs_raw_grad,0.005319134307103154,0.5332608378480247
Cora,low_feature_similarity,1,feature_vs_pos_grad,0.007843490449793033,0.358239806841849
Cora,low_feature_similarity,1,feature_vs_neg_grad,0.0030745981065753263,0.7187504009484973
Cora,low_feature_similarity,1,feature_vs_hybrid,0.9214445522974294,0.0
Cora,low_feature_similarity,2,feature_vs_raw_grad,0.028199187584334564,0.0009543988457478529
Cora,low_feature_similarity,2,feature_vs_pos_grad,0.03179247941857237,0.0001954676639916111
Cora,low_feature_similarity,2,feature_vs_neg_grad,-0.005571559593960497,0.5140120312190887
Cora,low_feature_similarity,2,feature_vs_hybrid,0.926903114710486,0.0
Cora,low_feature_similarity,3,feature_vs_raw_grad,0.023522383211054095,0.005859098490340745
Cora,low_feature_similarity,3,feature_vs_pos_grad,0.02326253753921821,0.0064278895207906415
Cora,low_feature_similarity,3,feature_vs_neg_grad,-0.01296377189600833,0.12888489854263957
Cora,low_feature_similarity,3,feature_vs_hybrid,0.9226721549434288,0.0
Cora,low_feature_similarity,4,feature_vs_raw_grad,0.002613312742544593,0.7595296132970998
Cora,low_feature_similarity,4,feature_vs_pos_grad,-0.0007167069818527808,0.9330977020793498
Cora,low_feature_similarity,4,feature_vs_neg_grad,-0.00911800782188589,0.2855128834002349
Cora,low_feature_similarity,4,feature_vs_hybrid,0.9226805738292679,0.0
Cora,low_feature_similarity,5,feature_vs_raw_grad,0.041841033515606314,9.438469430439529e-07
Cora,low_feature_similarity,5,feature_vs_pos_grad,0.048119029204512075,1.7058274488232746e-08
Cora,low_feature_similarity,5,feature_vs_neg_grad,-0.00667204273850731,0.4345044430136353
Cora,low_feature_similarity,5,feature_vs_hybrid,0.9257607498329529,0.0
Cora,low_feature_similarity,6,feature_vs_raw_grad,0.033097648370031645,0.0001054058291756582
Cora,low_feature_similarity,6,feature_vs_pos_grad,0.036064963551165126,2.3822720277923148e-05
