dataset,noise_type,seed,score,precision,recall,f1
Cora,feature_similar_cross_class,0,feature_risk,0.08819241982507289,0.0764371446620341,0.08189509306260574
Cora,feature_similar_cross_class,0,raw_grad,0.24380466472303208,0.2113076437144662,0.2263959390862944
Cora,feature_similar_cross_class,0,pos_grad,0.24380466472303208,0.2113076437144662,0.2263959390862944
Cora,feature_similar_cross_class,0,neg_grad,0.1556122448979592,0.1348704990524321,0.14450084602368865
Cora,feature_similar_cross_class,0,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,0,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,1,feature_risk,0.08819241982507289,0.0764371446620341,0.08189509306260574
Cora,feature_similar_cross_class,1,raw_grad,0.2467201166180758,0.21383449147188882,0.22910321489001692
Cora,feature_similar_cross_class,1,pos_grad,0.2467201166180758,0.21383449147188882,0.22910321489001692
Cora,feature_similar_cross_class,1,neg_grad,0.1836734693877551,0.15919140871762477,0.17055837563451776
Cora,feature_similar_cross_class,1,hybrid,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261
Cora,feature_similar_cross_class,1,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,2,feature_risk,0.08965014577259475,0.07770056854074542,0.083248730964467
Cora,feature_similar_cross_class,2,raw_grad,0.23505830903790087,0.20372710044219836,0.21827411167512686
Cora,feature_similar_cross_class,2,pos_grad,0.23505830903790087,0.20372710044219836,0.21827411167512686
Cora,feature_similar_cross_class,2,neg_grad,0.12099125364431487,0.10486418193303854,0.11235194585448392
Cora,feature_similar_cross_class,2,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,2,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,3,feature_risk,0.08454810495626822,0.07327858496525584,0.07851099830795262
Cora,feature_similar_cross_class,3,raw_grad,0.24198250728862974,0.20972836386607707,0.22470389170896785
Cora,feature_similar_cross_class,3,pos_grad,0.24198250728862974,0.20972836386607707,0.22470389170896785
Cora,feature_similar_cross_class,3,neg_grad,0.1683673469387755,0.14592545799115603,0.15634517766497463
Cora,feature_similar_cross_class,3,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,3,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,4,feature_risk,0.08454810495626822,0.07327858496525584,0.07851099830795262
Cora,feature_similar_cross_class,4,raw_grad,0.23287172011661808,0.2018319646241314,0.216243654822335
Cora,feature_similar_cross_class,4,pos_grad,0.23287172011661808,0.2018319646241314,0.216243654822335
Cora,feature_similar_cross_class,4,neg_grad,0.13739067055393586,0.11907770056854075,0.127580372250423
Cora,feature_similar_cross_class,4,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,4,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,5,feature_risk,0.08819241982507289,0.0764371446620341,0.08189509306260574
Cora,feature_similar_cross_class,5,raw_grad,0.2521865889212828,0.21857233101705623,0.2341793570219966
Cora,feature_similar_cross_class,5,pos_grad,0.2521865889212828,0.21857233101705623,0.2341793570219966
Cora,feature_similar_cross_class,5,neg_grad,0.14941690962099125,0.12950094756790903,0.13874788494077833
Cora,feature_similar_cross_class,5,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,5,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,6,feature_risk,0.08819241982507289,0.0764371446620341,0.08189509306260574
Cora,feature_similar_cross_class,6,raw_grad,0.24927113702623907,0.2160454832596336,0.23147208121827412
Cora,feature_similar_cross_class,6,pos_grad,0.24927113702623907,0.2160454832596336,0.23147208121827412
Cora,feature_similar_cross_class,6,neg_grad,0.14067055393586006,0.12192040429564119,0.13062605752961082
Cora,feature_similar_cross_class,6,hybrid,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261
Cora,feature_similar_cross_class,6,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,7,feature_risk,0.08454810495626822,0.07327858496525584,0.07851099830795262
Cora,feature_similar_cross_class,7,raw_grad,0.23943148688046648,0.2075173720783323,0.22233502538071068
Cora,feature_similar_cross_class,7,pos_grad,0.23943148688046648,0.2075173720783323,0.22233502538071068
Cora,feature_similar_cross_class,7,neg_grad,0.15706997084548105,0.1361339229311434,0.1458544839255499
Cora,feature_similar_cross_class,7,hybrid,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261
Cora,feature_similar_cross_class,7,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,8,feature_risk,0.09110787172011661,0.07896399241945673,0.08460236886632826
Cora,feature_similar_cross_class,8,raw_grad,0.2503644314868805,0.2169930511686671,0.23248730964467007
Cora,feature_similar_cross_class,8,pos_grad,0.2503644314868805,0.2169930511686671,0.23248730964467007
Cora,feature_similar_cross_class,8,neg_grad,0.15087463556851313,0.13076437144662034,0.1401015228426396
Cora,feature_similar_cross_class,8,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,8,shuffled_hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,9,feature_risk,0.09110787172011661,0.07896399241945673,0.08460236886632826
Cora,feature_similar_cross_class,9,raw_grad,0.23505830903790087,0.20372710044219836,0.21827411167512686
Cora,feature_similar_cross_class,9,pos_grad,0.23505830903790087,0.20372710044219836,0.21827411167512686
Cora,feature_similar_cross_class,9,neg_grad,0.1490524781341108,0.12918509159823122,0.13840947546531301
Cora,feature_similar_cross_class,9,hybrid,0.0,0.0,0.0
Cora,feature_similar_cross_class,9,shuffled_hybrid,0.0,0.0,0.0
Cora,cross_class_oracle,0,feature_risk,0.5080174927113703,0.4403032217308907,0.4717428087986464
Cora,cross_class_oracle,0,raw_grad,0.26785714285714285,0.23215413771320279,0.2487309644670051
Cora,cross_class_oracle,0,pos_grad,0.26785714285714285,0.23215413771320279,0.2487309644670051
Cora,cross_class_oracle,0,neg_grad,0.16727405247813412,0.14497789008212256,0.1553299492385787
Cora,cross_class_oracle,0,hybrid,0.3965014577259475,0.34365129500947567,0.3681895093062605
