dataset,noise_type,noise_ratio,seed,method,method_type,lambda_pos,lambda_neg,score_ratio,degree_norm,inner_steps,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,edge_score_auc,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,notes
Cora,cross_class_oracle,0.3,0,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.68,0.6563304278096992,0.67,0.5080174927113703,0.4403032217308907,0.4717428087986464,0.0,0.19997084973036006,0.6230869889259338,0.6870104074478149,13722,10978,0.7131941318511963,
Cora,cross_class_oracle,0.3,0,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.628,0.5843757956471822,0.63,0.21501457725947523,0.1863550221099179,0.19966159052453472,0.0,0.19997084973036006,0.6230869889259338,0.6190562844276428,13722,10978,1.2958858013153076,
Cora,cross_class_oracle,0.3,0,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.571,0.553199116944325,0.556,0.030612244897959183,0.026531901452937462,0.028426395939086295,0.0,0.19997084973036006,0.6230869889259338,0.5797048807144165,13722,10978,2.2242941856384277,
Cora,cross_class_oracle,0.3,0,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.657,0.6072814204888254,0.666,0.2303206997084548,0.1996209728363866,0.21387478849407784,0.0,0.19997084973036006,0.6230869889259338,0.617234468460083,13722,10978,1.2786321640014648,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-pos-lam0.25,feature_plus_pos,0.25,0.0,0.3,False,0,GCN,0.668,0.6425623808939382,0.658,0.4803206997084548,0.4162981680353759,0.4460236886632826,0.0,0.19997084973036006,0.6230869889259338,0.6815448999404907,13722,10978,1.2180819511413574,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-pos-lam0.5,feature_plus_pos,0.5,0.0,0.3,False,0,GCN,0.653,0.6179658330517063,0.656,0.4679300291545189,0.40555906506632977,0.434517766497462,0.0,0.19997084973036006,0.6230869889259338,0.6784477829933167,13722,10978,1.3470368385314941,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_pos_neg,0.1,0.5,0.3,False,0,GCN,0.679,0.6576302047120652,0.704,0.5349854227405247,0.4636765634870499,0.4967851099830795,0.0,0.19997084973036006,0.6230869889259338,0.6902896761894226,13722,10978,1.2544307708740234,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,0,GCN,0.668,0.6417644305294855,0.678,0.5123906705539358,0.44409349336702464,0.4758037225042301,0.0,0.19997084973036006,0.6230869889259338,0.6857351064682007,13722,10978,1.321063756942749,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_pos_neg,0.5,0.1,0.3,False,0,GCN,0.662,0.6311853430574578,0.656,0.48542274052478135,0.42072015161086546,0.45076142131979696,0.0,0.19997084973036006,0.6230869889259338,0.6808161735534668,13722,10978,1.3218207359313965,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,1,GCN,0.675,0.6491054767730418,0.654,0.47886297376093295,0.4150347441566646,0.44467005076142135,0.0,0.19997084973036006,0.6230869889259338,0.679358720779419,13722,10978,1.238980770111084,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,3,GCN,0.669,0.6556284967962067,0.664,0.4686588921282799,0.4061907770056854,0.4351945854483925,0.0,0.19997084973036006,0.6230869889259338,0.6762616038322449,13722,10978,1.9706480503082275,
Cora,cross_class_oracle,0.3,1,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.685,0.6738574870019765,0.67,0.5065597667638484,0.4390397978521794,0.4703891708967851,0.0,0.19997084973036006,0.6230869889259338,0.686646044254303,13722,10978,2.493185520172119,
Cora,cross_class_oracle,0.3,1,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.635,0.6122903311402891,0.612,0.17711370262390672,0.15350600126342387,0.16446700507614212,0.0,0.19997084973036006,0.6230869889259338,0.6106758713722229,13722,10978,2.0762178897857666,
Cora,cross_class_oracle,0.3,1,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.584,0.562135395390642,0.522,0.023323615160349854,0.02021478205938092,0.021658206429780034,0.0,0.19997084973036006,0.6230869889259338,0.5800692439079285,13722,10978,1.164654016494751,
Cora,cross_class_oracle,0.3,1,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.639,0.6234962637612076,0.604,0.2018950437317784,0.1749842072015161,0.1874788494077834,0.0,0.19997084973036006,0.6230869889259338,0.6135908365249634,13722,10978,1.4438228607177734,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-pos-lam0.25,feature_plus_pos,0.25,0.0,0.3,False,0,GCN,0.679,0.6682346034763716,0.646,0.48177842565597667,0.41756159191408715,0.44737732656514373,0.0,0.19997084973036006,0.6230869889259338,0.6813627481460571,13722,10978,1.0640640258789062,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-pos-lam0.5,feature_plus_pos,0.5,0.0,0.3,False,0,GCN,0.698,0.679967835442487,0.65,0.4737609329446064,0.41061276058117496,0.4399323181049069,0.0,0.19997084973036006,0.6230869889259338,0.679358720779419,13722,10978,1.1333210468292236,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_pos_neg,0.1,0.5,0.3,False,0,GCN,0.689,0.6744612038037143,0.674,0.5466472303206997,0.4737839545167404,0.5076142131979695,0.0,0.19997084973036006,0.6230869889259338,0.6913827657699585,13722,10978,1.0589652061462402,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,0,GCN,0.684,0.6709948309438055,0.658,0.5138483965014577,0.44535691724573595,0.4771573604060914,0.0,0.19997084973036006,0.6230869889259338,0.686281681060791,13722,10978,1.0759849548339844,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_pos_neg,0.5,0.1,0.3,False,0,GCN,0.695,0.6748052222003365,0.65,0.47594752186588923,0.41250789639924196,0.44196277495769887,0.0,0.19997084973036006,0.6230869889259338,0.6800874471664429,13722,10978,1.061875820159912,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,1,GCN,0.679,0.6612438891981309,0.656,0.4752186588921283,0.4118761844598863,0.44128595600676823,0.0,0.19997084973036006,0.6230869889259338,0.678994357585907,13722,10978,1.176978588104248,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,3,GCN,0.668,0.6562940308054921,0.664,0.46574344023323616,0.4036639292482628,0.43248730964467,0.0,0.19997084973036006,0.6230869889259338,0.6762616038322449,13722,10978,1.1349453926086426,
Cora,cross_class_oracle,0.3,2,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.672,0.6455671221564906,0.65,0.5145772594752187,0.4459886291850916,0.477834179357022,0.0,0.19997084973036006,0.6230869889259338,0.6879212856292725,13722,10978,0.6443681716918945,
Cora,cross_class_oracle,0.3,2,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.64,0.6238746407026863,0.64,0.20918367346938777,0.18130132659507264,0.19424703891708966,0.0,0.19997084973036006,0.6230869889259338,0.6272544860839844,13722,10978,2.1951026916503906,
Cora,cross_class_oracle,0.3,2,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.608,0.5616082127370118,0.552,0.034256559766763846,0.02969046114971573,0.031810490693739424,0.0,0.19997084973036006,0.6230869889259338,0.5833485126495361,13722,10978,1.7840425968170166,
Cora,cross_class_oracle,0.3,2,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.635,0.5949148972003483,0.652,0.2230320699708455,0.19330385344283008,0.20710659898477157,0.0,0.19997084973036006,0.6230869889259338,0.6223355531692505,13722,10978,2.0786375999450684,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-FO-pos-lam0.25,feature_plus_pos,0.25,0.0,0.3,False,0,GCN,0.679,0.6685467360921,0.662,0.49271137026239065,0.42703727100442196,0.4575296108291032,0.0,0.19997084973036006,0.6230869889259338,0.6850063800811768,13722,10978,1.7335035800933838,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-FO-pos-lam0.5,feature_plus_pos,0.5,0.0,0.3,False,0,GCN,0.68,0.6676888961510453,0.662,0.4679300291545189,0.40555906506632977,0.434517766497462,0.0,0.19997084973036006,0.6230869889259338,0.6815448999404907,13722,10978,2.5219833850860596,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_pos_neg,0.1,0.5,0.3,False,0,GCN,0.681,0.6668924170233382,0.658,0.5546647230320699,0.48073278584965257,0.5150592216582064,0.0,0.19997084973036006,0.6230869889259338,0.6939333081245422,13722,10978,2.0757131576538086,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,0,GCN,0.685,0.6711559126045936,0.658,0.5233236151603499,0.45356917245735945,0.4859560067681895,0.0,0.19997084973036006,0.6230869889259338,0.6901074647903442,13722,10978,2.2775063514709473,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_pos_neg,0.5,0.1,0.3,False,0,GCN,0.673,0.6531792764215923,0.672,0.48104956268221577,0.4169298799747315,0.4467005076142132,0.0,0.19997084973036006,0.6230869889259338,0.6840954422950745,13722,10978,1.5799760818481445,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,1,GCN,0.658,0.6350890749771716,0.646,0.4963556851311953,0.43019583070120027,0.46091370558375633,0.0,0.19997084973036006,0.6230869889259338,0.682091474533081,13722,10978,1.2840056419372559,
Cora,cross_class_oracle,0.3,2,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,3,GCN,0.646,0.6290496055822011,0.64,0.47011661807580174,0.4074542008843967,0.43654822335025373,0.0,0.19997084973036006,0.6230869889259338,0.6788121461868286,13722,10978,1.4229395389556885,
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.591,0.5665343181704474,0.584,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.0,0.19997084973036006,0.6230869889259338,0.6068500876426697,13722,10978,0.9873166084289551,
Cora,feature_similar_cross_class,0.3,0,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.625,0.6142119513703203,0.628,0.21501457725947523,0.1863550221099179,0.19966159052453472,0.0,0.19997084973036006,0.6230869889259338,0.6205137372016907,13722,10978,1.9266047477722168,
Cora,feature_similar_cross_class,0.3,0,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.596,0.5882463111538171,0.57,0.03134110787172012,0.027163613392293114,0.02910321489001692,0.0,0.19997084973036006,0.6230869889259338,0.5787939429283142,13722,10978,2.0070550441741943,
Cora,feature_similar_cross_class,0.3,0,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.626,0.6047671132564598,0.624,0.19314868804664723,0.16740366392924827,0.1793570219966159,0.0,0.19997084973036006,0.6230869889259338,0.6146839261054993,13722,10978,1.4594173431396484,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-pos-lam0.25,feature_plus_pos,0.25,0.0,0.3,False,0,GCN,0.598,0.5854364575946576,0.588,0.11734693877551021,0.10170562223626027,0.1089678510998308,0.0,0.19997084973036006,0.6230869889259338,0.613772988319397,13722,10978,1.454848289489746,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-pos-lam0.5,feature_plus_pos,0.5,0.0,0.3,False,0,GCN,0.62,0.6043700969551624,0.602,0.17346938775510204,0.15034744156664562,0.161082910321489,0.0,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,1.4011757373809814,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_pos_neg,0.1,0.5,0.3,False,0,GCN,0.625,0.6090298478369977,0.624,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.0,0.19997084973036006,0.6230869889259338,0.6354527473449707,13722,10978,1.5016088485717773,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,0,GCN,0.614,0.6011699223047097,0.624,0.17055393586005832,0.147820593809223,0.1583756345177665,0.0,0.19997084973036006,0.6230869889259338,0.624521791934967,13722,10978,1.4833650588989258,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_pos_neg,0.5,0.1,0.3,False,0,GCN,0.626,0.6098739610626787,0.614,0.19169096209912537,0.16614024005053696,0.17800338409475464,0.0,0.19997084973036006,0.6230869889259338,0.6288941502571106,13722,10978,1.522294282913208,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,1,GCN,0.591,0.586503791966139,0.606,0.08527696793002916,0.0739102969046115,0.07918781725888326,0.0,0.19997084973036006,0.6230869889259338,0.6050282120704651,13722,10978,2.0581448078155518,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,3,GCN,0.603,0.5953974917145487,0.618,0.1217201166180758,0.10549589387239419,0.11302876480541456,0.0,0.19997084973036006,0.6230869889259338,0.613772988319397,13722,10978,2.3316490650177,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.62,0.6050095809276828,0.606,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.0,0.19997084973036006,0.6230869889259338,0.6068500876426697,13722,10978,0.5401279926300049,
Cora,feature_similar_cross_class,0.3,1,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.66,0.6506684895065681,0.652,0.24271137026239067,0.21036007580543273,0.22538071065989848,0.0,0.19997084973036006,0.6230869889259338,0.6234287023544312,13722,10978,1.1446640491485596,
Cora,feature_similar_cross_class,0.3,1,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.601,0.6002684275586566,0.526,0.04446064139941691,0.03853442830069488,0.04128595600676819,0.0,0.19997084973036006,0.6230869889259338,0.5824375748634338,13722,10978,2.1756324768066406,
Cora,feature_similar_cross_class,0.3,1,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.614,0.6051185421478954,0.62,0.23396501457725946,0.20277953253316489,0.217258883248731,0.0,0.19997084973036006,0.6230869889259338,0.620695948600769,13722,10978,1.4314229488372803,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-pos-lam0.25,feature_plus_pos,0.25,0.0,0.3,False,0,GCN,0.602,0.5921628209017882,0.598,0.12317784256559766,0.10675931775110549,0.1143824027072758,0.0,0.19997084973036006,0.6230869889259338,0.613044261932373,13722,10978,1.4668896198272705,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-pos-lam0.5,feature_plus_pos,0.5,0.0,0.3,False,0,GCN,0.619,0.6021737272612674,0.602,0.18731778425655976,0.16234996841440302,0.1739424703891709,0.0,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,1.1338138580322266,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_pos_neg,0.1,0.5,0.3,False,0,GCN,0.64,0.6333834211461274,0.612,0.21282798833819241,0.18445988629185092,0.19763113367174281,0.0,0.19997084973036006,0.6230869889259338,0.6294407248497009,13722,10978,1.0162060260772705,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,0,GCN,0.63,0.6182611219174564,0.616,0.17565597667638483,0.15224257738471256,0.16311336717428088,0.0,0.19997084973036006,0.6230869889259338,0.6239752173423767,13722,10978,1.0323576927185059,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_pos_neg,0.5,0.1,0.3,False,0,GCN,0.632,0.6171106699711577,0.6,0.2033527696793003,0.17624763108022742,0.18883248730964466,0.0,0.19997084973036006,0.6230869889259338,0.6298050880432129,13722,10978,1.062821388244629,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,1,GCN,0.599,0.5898709381209589,0.602,0.10058309037900874,0.08717624763108023,0.09340101522842639,0.0,0.19997084973036006,0.6230869889259338,0.609218418598175,13722,10978,1.0775153636932373,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_pos_neg,0.25,0.25,0.3,False,3,GCN,0.611,0.5922572497995413,0.604,0.12244897959183673,0.10612760581174985,0.11370558375634518,0.0,0.19997084973036006,0.6230869889259338,0.6132264733314514,13722,10978,1.1320407390594482,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,0.0,0.0,0.3,False,0,GCN,0.569,0.5527208682622523,0.56,0.08965014577259475,0.07770056854074542,0.083248730964467,0.0,0.19997084973036006,0.6230869889259338,0.6072144508361816,13722,10978,0.8326797485351562,
Cora,feature_similar_cross_class,0.3,2,GraGE-FO-grad,grad_only,1.0,0.0,0.3,False,0,GCN,0.611,0.5880040571112554,0.602,0.1967930029154519,0.17056222362602652,0.18274111675126903,0.0,0.19997084973036006,0.6230869889259338,0.6208781003952026,13722,10978,1.089704990386963,
Cora,feature_similar_cross_class,0.3,2,GraGE-FO-neggrad,neg_grad,0.0,1.0,0.3,False,0,GCN,0.561,0.5453806628518223,0.52,0.024052478134110787,0.020846493998736577,0.02233502538071066,0.0,0.19997084973036006,0.6230869889259338,0.5771543383598328,13722,10978,1.0767321586608887,
Cora,feature_similar_cross_class,0.3,2,GraGE-FO-absgrad,abs_grad,1.0,0.0,0.3,False,0,GCN,0.629,0.6034530092705571,0.65,0.21574344023323616,0.18698673404927352,0.2003384094754653,0.0,0.19997084973036006,0.6230869889259338,0.6181454062461853,13722,10978,1.2980561256408691,
