method,n,feature_scoring_mean,feature_scoring_std,probe_train_mean,probe_train_std,gradient_confidence_mean,gradient_confidence_std,stability_scoring_mean,stability_scoring_std,pruning_mean,pruning_std,downstream_train_mean,downstream_train_std,inference_eval_mean,inference_eval_std,total_mean,total_std,test_acc_mean,test_acc_std
Feature-only,1,0.07767081260681152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9650969505310059,0.0,0.4831414222717285,0.0,0.0,0.0,1.525909185409546,0.0,0.608,0.0
StabilityResidual-v5-dp0.15-grad-frozen,1,0.00032329559326171875,0.0,0.15281271934509277,0.0,2.6888935565948486,0.0,2.5389482975006104,0.0,0.9312593936920166,0.0,0.21317338943481445,0.0,0.0,0.0,6.5254106521606445,0.0,0.653,0.0
