method,mean,std,count
StabilityResidual-v5-dp0.15-grad-frozen,0.6820444444444445,0.06419438722202654,90
Feature-only,0.6719666666666666,0.06536611670799446,90
MCGC-cw3.0-lp0.1-ln0.5,0.6569777777777778,0.06292067018539513,90
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.6548555555555555,0.0721160988293325,90
Random-Matched,0.6449888888888888,0.06334522754465528,90
