noise_type,dataset,delta_mean,delta_std,p_value,significant,win_rate,n
feature_similar_cross_class,all,0.002999999999999966,0.005692099788303069,0.25316999510032634,False,0.5,6
feature_similar_cross_class,Cora,0.0023333333333333353,0.007571877794400371,0.6468967093862773,False,0.3333333333333333,3
feature_similar_cross_class,CiteSeer,0.003666666666666596,0.004725815626252569,0.31115327980633956,False,0.6666666666666666,3
low_feature_similarity,all,0.0316666666666667,0.03303735259772896,0.06573447116699885,False,0.8333333333333334,6
low_feature_similarity,Cora,0.05766666666666672,0.010692676621563636,0.011267132474515437,True,1.0,3
low_feature_similarity,CiteSeer,0.005666666666666671,0.024214320831552023,0.7244772382817548,False,0.6666666666666666,3
