method,mean,std,count
LDS-Proxy,0.6382666666666666,0.05724052900628662,30
StabilityResidual-frozen,0.6297666666666667,0.052241272713369466,30
ProGNN-Proxy,0.628,0.06695031611266823,30
IDGL-Proxy,0.6145999999999999,0.030974516778396622,30
Feature-only,0.6107,0.047926056551230375,30
Random-Matched,0.6092666666666667,0.04784236568171548,30
GCN-Jaccard,0.6080666666666666,0.050374414231784376,30
DegreeAwareRandom,0.6080333333333333,0.044435527362168464,30
