dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_gate_type,hp_tau_quantile,hp_checkpoint_control,diag_gate_type,diag_tau,diag_tau_quantile,diag_soft_k,diag_feature_sim_mean,diag_gate_active_fraction,diag_gate_mean,diag_dynamic_contribution_mean,diag_dynamic_contribution_abs_mean
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.592,0.5824500910231112,0.564,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.8775646686553955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.587,0.5849572179484065,0.558,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5899070501327515,13722,10978,1.4805514812469482,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429141044616699,6.898272658872884e-06,2.9665141482837498e-05,2.2766869733459316e-05,0.29999998211860657,0.29955190420150757,0.4685426484552979,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.602,0.5985252407610291,0.578,0.15451895043731778,0.13392293114339862,0.14348561759729273,0.19997084973036006,0.6230869889259338,0.6245217323303223,13722,10978,2.096653461456299,0.1,0.5,0.3,,0.1,0.5,,0.8429141044616699,,,,0.32903820276260376,0.35896626114845276,0.4541960968867541,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.8511202881654754e-07,0.902383029460907,0.5863532423973083,0.4999999701976776,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.588,0.5769504700109408,0.564,0.09110787172011661,0.07896399241945673,0.08460236886632826,0.19997084973036006,0.6230869889259338,0.6073966026306152,13722,10978,6.15767502784729,0.1,0.5,0.3,,0.1,0.5,,0.8429141044616699,,,,0.4212746024131775,0.3864348232746124,0.5731460906270849,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.573220202999437e-07,0.9135693907737732,0.5936458110809326,0.4999999701976776,hard,0.5,real,hard,0.13608276844024658,0.5,20.0,0.15708589553833008,0.5019676089286804,0.5019676089286804,-0.07872537523508072,0.09334585070610046
Cora,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.633,0.6234806787607117,0.628,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,2.4195802211761475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,Feature-only,feature_only,GCN,0.592,0.5780787157601558,0.568,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.8807113170623779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.595,0.5839825434269524,0.576,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.59245765209198,13722,10978,1.274306297302246,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429012298583984,3.761098469112767e-06,2.8759148335666396e-05,2.4998049411806278e-05,0.29999998211860657,0.3017669916152954,0.47662935121819383,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.637,0.6354990011807137,0.6,0.16763848396501457,0.14529374605180037,0.155668358714044,0.19997084973036006,0.6230869889259338,0.6263436079025269,13722,10978,2.361344575881958,0.1,0.5,0.3,,0.1,0.5,,0.8429012298583984,,,,0.326694518327713,0.3627013564109802,0.48552137300040665,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.2571857155307953e-07,0.8825607895851135,0.4583854675292969,0.4999999701976776,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.591,0.5783163332342637,0.574,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,2.413778066635132,0.1,0.5,0.3,,0.1,0.5,,0.8429012298583984,,,,0.42575517296791077,0.379018634557724,0.5675289051898283,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,4.2312538539590605e-07,0.8598964810371399,0.4556417167186737,0.4999999403953552,hard,0.5,real,hard,0.13636364042758942,0.5,20.0,0.15709877014160156,0.5006558895111084,0.5006558895111084,-0.07424478232860565,0.0883306935429573
Cora,feature_similar_cross_class,0.3,3,Random-Matched,random_matched,GCN,0.676,0.654552218927328,0.642,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.19997084973036006,0.6230869889259338,0.6237930059432983,13722,10978,0.815436840057373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,Feature-only,feature_only,GCN,0.625,0.6148754572330074,0.578,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,1.0646464824676514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.609,0.5966169267402508,0.57,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5926398038864136,13722,10978,3.3301780223846436,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8430176377296448,4.8293827603629325e-06,3.0038956538191997e-05,2.520957605156582e-05,0.2999999523162842,0.30021026730537415,0.47600511976315235,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.63,0.6184123337732705,0.596,0.14650145772594753,0.1269740998104864,0.13604060913705582,0.19997084973036006,0.6230869889259338,0.6201493740081787,13722,10978,6.142316102981567,0.1,0.5,0.3,,0.1,0.5,,0.8430176377296448,,,,0.3212731182575226,0.3647802472114563,0.4499809935854548,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.4336659148739272e-07,0.91535484790802,0.5485546588897705,0.4999999701976776,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.624,0.6140549387627624,0.578,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,4.521402597427368,0.1,0.5,0.3,,0.1,0.5,,0.8430176377296448,,,,0.4160686433315277,0.39219582080841064,0.5671184958984206,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.4674131421088532e-07,0.9130592942237854,0.5438272953033447,0.4999999701976776,hard,0.5,real,hard,0.13608276844024658,0.5,20.0,0.15698236227035522,0.5006558895111084,0.5006558895111084,-0.0839313343167305,0.09696895629167557
Cora,feature_similar_cross_class,0.3,4,Random-Matched,random_matched,GCN,0.645,0.632211634234695,0.642,0.22157434402332363,0.19204042956411876,0.20575296108291033,0.19997084973036006,0.6230869889259338,0.6232464909553528,13722,10978,0.7584099769592285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,0,Feature-only,feature_only,GCN,0.713,0.7031190989469722,0.674,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6563183069229126,0.7176170349121094,13722,10978,0.7635965347290039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.742,0.7291327550836996,0.72,0.6581632653061225,0.5704358812381554,0.6111675126903553,0.19997084973036006,0.6563183069229126,0.7378392815589905,13722,10978,1.339674949645996,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.871027410030365,4.515335604082793e-06,2.8414691769285128e-05,2.389935434621293e-05,0.2999999523162842,0.2607886791229248,0.9145082377487022,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.744,0.7331676421365908,0.72,0.5466472303206997,0.4737839545167404,0.5076142131979695,0.19997084973036006,0.6563183069229126,0.7203497886657715,13722,10978,2.0078186988830566,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.31900539994239807,0.3225776255130768,0.7775311146256755,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.032174523629692e-07,0.8827430009841919,0.546495795249939,0.4999999701976776,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,0,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.776,0.7664819044723439,0.764,1.0,0.866708780795957,0.9285956006768189,0.19997084973036006,0.6563183069229126,0.7859354615211487,13722,10978,2.394376516342163,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.42785149812698364,0.3787468373775482,0.9999999999999999,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,7.440082328002973e-08,0.8928362727165222,0.5193231105804443,0.4999999701976776,hard,0.5,real,hard,0.10540926456451416,0.5,20.0,0.12897257506847382,0.5019676089286804,0.5019676089286804,-0.07214843481779099,0.08486631512641907
Cora,low_feature_similarity,0.3,0,Random-Matched,random_matched,GCN,0.706,0.6931471755771003,0.676,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6563183069229126,0.6609582901000977,13722,10978,0.830467939376831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,1,Feature-only,feature_only,GCN,0.713,0.7068175992493043,0.678,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6542778015136719,0.7187101244926453,13722,10978,0.7566070556640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.735,0.7361788183915604,0.68,0.6370262390670554,0.5521162349968415,0.5915397631133671,0.19997084973036006,0.6542778015136719,0.7300054430961609,13722,10978,1.6657538414001465,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.871027410030365,3.6895368538125695e-08,6.461251587097649e-07,6.092298008297803e-07,0.2999999523162842,0.25733286142349243,0.9080438425799698,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.699,0.6948288397485819,0.66,0.5371720116618076,0.4655716993051169,0.4988155668358714,0.19997084973036006,0.6542778015136719,0.7119693756103516,13722,10978,1.997605800628662,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.31643274426460266,0.32506850361824036,0.753067716695268,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.6906166422359092e-07,0.9121847748756409,0.553528368473053,0.4999999701976776,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,1,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.759,0.7576435883694188,0.748,1.0,0.866708780795957,0.9285956006768189,0.19997084973036006,0.6542778015136719,0.7850245833396912,13722,10978,2.470031261444092,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.42770931124687195,0.37714138627052307,1.0,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.6840421324104682e-07,0.9128042459487915,0.5452477335929871,0.4999999701976776,hard,0.5,real,hard,0.10540926456451416,0.5,20.0,0.12897257506847382,0.5019676089286804,0.5019676089286804,-0.07229066640138626,0.08450949937105179
Cora,low_feature_similarity,0.3,1,Random-Matched,random_matched,GCN,0.675,0.6695966481565641,0.686,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6542778015136719,0.6584076881408691,13722,10978,1.0919554233551025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
