dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_num_views,hp_edge_dropout_rates,hp_total_epochs,hp_use_gradient_confidence,hp_score_ratio,hp_checkpoint_control,hp_skip_residualization,diag_method,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_risk_mean,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_edge_score_auc,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc,diag_skipped_residualization,diag_shuffled_residual,hp_gradient_abstention_threshold,diag_gradient_confidence_mean,diag_gradient_confidence_std
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.61,0.5800330665248531,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1028778553009033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-residualized-v5-dp0.15-nograd,stability_residual,GCN,0.623,0.6211013415636705,0.642,0.23396501457725946,0.20277953253316489,0.217258883248731,0.19997084973036006,0.6230869889259338,0.642011284828186,13722,10978,2.1039280891418457,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,False,stability_residual,5.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.6197050213813782,0.23631887137889862,0.5000000596046448,1.3411285877227783,0.12177450954914093,0.5129380822181702,5.9154841437703e-05,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3227764666080475,0.007691498845815659,0.5,4.360240563983098e-05,0.6345026387558028,0.5715543034089225,0.5723330517479558,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-raw-v5-dp0.15-nograd,stability_residual,GCN,0.631,0.6056753035287097,0.614,0.23833819241982507,0.2065698041692988,0.22131979695431475,0.19997084973036006,0.6230869889259338,0.6412825584411621,13722,10978,1.914290428161621,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,True,stability_residual,5.0,False,0.1,True,0.842603862285614,0.1573961079120636,0.5674416422843933,0.1952802985906601,0.5000000596046448,1.4124599695205688,0.12772642076015472,0.4785029888153076,-1.0,0.4999999403953552,0.2887066900730133,0.0,0.75,0.3230620324611664,,0.5,,0.6376549148457572,0.5761086017909596,0.5761086017909596,0.6080494619197867,True,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-shuffled-residual-v5,stability_residual,GCN,0.64,0.6155529650668096,0.64,0.16253644314868804,0.1408717624763108,0.15093062605752963,0.19997084973036006,0.6230869889259338,0.6228821277618408,13722,10978,1.6577627658843994,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.5424953699111938,0.19045144319534302,0.5,1.9189355373382568,0.0008812167216092348,0.2068125307559967,0.001670820638537407,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3226222097873688,-0.04087716341018677,0.5,0.0016382227186113596,0.6444075779580168,0.5976934794353705,0.5931670982207937,0.6080494619197867,,True,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-nograd,stability_residual,GCN,0.632,0.6067897907686437,0.614,0.23760932944606414,0.20593809222994314,0.22064297800338412,0.19997084973036006,0.6230869889259338,0.6414647102355957,13722,10978,1.835883378982544,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.5701733231544495,0.1974637508392334,0.5000000596046448,1.406614899635315,0.12544798851013184,0.482160747051239,2.213969594322407e-07,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32272598147392273,-0.0004705455503426492,0.5,0.00029448888381011784,0.6378632313729358,0.5763943862136948,0.5763597066884146,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-real,stability_residual,GCN,0.641,0.6344438766769558,0.67,0.29373177842565595,0.2545799115603285,0.27275803722504227,0.19997084973036006,0.6230869889259338,0.6545819044113159,13722,10978,2.9980568885803223,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,real,,stability_residual,5.0,True,0.1,False,0.842603862285614,0.1573961079120636,0.5435815453529358,0.19223438203334808,0.5,1.919247031211853,0.0008767181425355375,0.20642077922821045,0.0014970727497711778,0.4999999701976776,0.2887066900730133,0.10253606736660004,0.7254025936126709,0.32980605959892273,-0.03869343549013138,0.5,0.0015577530721202493,0.6681168233818155,0.598868902896611,0.5946575697594062,0.6080494619197867,,,0.1,0.9123305082321167,0.170213520526886
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-shuffled,stability_residual,GCN,0.632,0.6115153993407887,0.626,0.24708454810495628,0.21415034744156664,0.2294416243654822,0.19997084973036006,0.6230869889259338,0.6451084017753601,13722,10978,2.8397951126098633,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,shuffled,,stability_residual,5.0,True,0.1,False,0.842603862285614,0.1573961079120636,0.5420148968696594,0.1892717182636261,0.5000000596046448,1.9192250967025757,0.000872740289196372,0.20654942095279694,0.001537963398732245,0.4999999701976776,0.2887066900730133,0.12855269014835358,0.7175922393798828,0.3225034475326538,-0.03921830654144287,0.5,0.0014794154558330774,0.6421499677920268,0.5994183295085118,0.5950643884183431,0.6080494619197867,,,0.1,0.793634295463562,0.20616306364536285
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.631,0.6231979391330824,0.66,0.2944606413994169,0.2552116234996841,0.2734348561759729,0.19997084973036006,0.6230869889259338,0.6556749939918518,13722,10978,2.903892755508423,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,frozen,,stability_residual,5.0,True,0.1,False,0.842603862285614,0.1573961079120636,0.5412409901618958,0.1897227019071579,0.5,1.919277310371399,0.0008790811989456415,0.2064201831817627,0.0018207990797236562,0.4999999403953552,0.2887066900730133,0.10005829483270645,0.7261058688163757,0.3296169340610504,-0.042672377079725266,0.5,0.0016543320380151272,0.6681477626649386,0.5984933526621069,0.5937751119858424,0.6080494619197867,,,0.1,0.9999999403953552,0.0
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp00-05-10-nograd,stability_residual,GCN,0.626,0.6233999026521463,0.636,0.27769679300291544,0.2406822488945041,0.2578680203045685,0.19997084973036006,0.6230869889259338,0.6545819044113159,13722,10978,1.7086870670318604,3.0,"[0.0, 0.05, 0.1]",200.0,False,0.3,real,,stability_residual,3.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.5956721901893616,0.23275373876094818,0.5000000596046448,1.920016884803772,0.0004047748807352036,0.20544104278087616,0.00056237424723804,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3226986825466156,-0.023715296760201454,0.5,0.0016587594291195273,0.6593025387925948,0.6315850404197497,0.628989521816324,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp00-10-15-20-30-nograd,stability_residual,GCN,0.665,0.6353695481592817,0.646,0.2653061224489796,0.229943145925458,0.24636209813874788,0.19997084973036006,0.6230869889259338,0.6502094864845276,13722,10978,1.6601967811584473,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.5431543588638306,0.1914878636598587,0.5000000596046448,1.9190969467163086,0.0008832772728055716,0.20658430457115173,0.001396952080540359,0.4999999403953552,0.2887066900730133,0.0,0.75,0.3226270079612732,-0.03737718611955643,0.5,0.0016120892250910401,0.6456328812886636,0.6006502455872922,0.5965159614385223,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp00-20-35-nograd,stability_residual,GCN,0.651,0.6322927933999951,0.642,0.27405247813411077,0.23752368919772585,0.2544839255499154,0.19997084973036006,0.6230869889259338,0.6502094864845276,13722,10978,1.508044958114624,3.0,"[0.0, 0.2, 0.35]",200.0,False,0.3,real,,stability_residual,3.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.6087587475776672,0.24814757704734802,0.5,1.9213107824325562,0.0007262860308401287,0.2035488486289978,2.0950934413122013e-05,0.4999999701976776,0.2887066900730133,0.0,0.75,0.322767436504364,0.004577385727316141,0.5,0.0008780648931860924,0.6594662716332614,0.6301118637608716,0.6305860367005727,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp0.15-nograd,stability_residual,GCN,0.655,0.6278115877476802,0.646,0.26895043731778423,0.23310170562223625,0.24974619289340103,0.19997084973036006,0.6230869889259338,0.6562215089797974,13722,10978,1.493398904800415,3.0,"[0.05, 0.1, 0.15]",200.0,False,0.3,real,,stability_residual,3.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.6131591796875,0.2630898058414459,0.5,1.8841514587402344,0.0009765131981112063,0.24410569667816162,1.1956809430557769e-05,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32272079586982727,-0.0034579881466925144,0.5,0.0008855818887241185,0.6627661227177641,0.6393785680414081,0.6390157047083006,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-nograd,stability_residual,GCN,0.616,0.6146938228433774,0.624,0.239067055393586,0.20720151610865445,0.22199661590524536,0.19997084973036006,0.6230869889259338,0.6416469216346741,13722,10978,2.0420584678649902,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.5711378455162048,0.198289155960083,0.5000000596046448,1.405447006225586,0.12517935037612915,0.4827565848827362,9.130132205825703e-10,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3227482736110687,3.0217210223781876e-05,0.5,0.00010716047836467624,0.6378681984145204,0.5763905861276633,0.5763905262837887,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v7-dp0.15-nograd,stability_residual,GCN,0.62,0.6166307665041407,0.642,0.20845481049562684,0.180669614655717,0.19357021996615906,0.19997084973036006,0.6230869889259338,0.6310803294181824,13722,10978,2.407752752304077,7.0,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]",200.0,False,0.3,real,,stability_residual,7.0,False,0.1,False,0.842603862285614,0.1573961079120636,0.480241984128952,0.1135396808385849,0.5000000596046448,1.5710499286651611,0.20234715938568115,0.36379602551460266,0.006975298747420311,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3223613500595093,-0.0835212990641594,0.5,0.0021141821052879095,0.6165469031154003,0.5260177228831246,0.5172993680247476,0.6080494619197867,,,,,
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.652,0.6306192320364831,0.642,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.722527265548706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.607,0.5870561862153656,0.598,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7323932647705078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-residualized-v5-dp0.15-nograd,stability_residual,GCN,0.657,0.6471131753145575,0.638,0.29737609329446063,0.25773847125710675,0.27614213197969545,0.19997084973036006,0.6230869889259338,0.6625978946685791,13722,10978,1.793205738067627,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,False,stability_residual,5.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.7500355839729309,0.406626433134079,0.5,0.7922397255897522,0.06428032368421555,0.7300229072570801,0.00045120061258785427,0.4999999403953552,0.2887066900730133,0.0,0.75,0.3228248655796051,0.021242259070277214,0.5,0.0014097554376348853,0.6803843389059151,0.6660995761378055,0.6683895319179698,0.6129795199898888,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-raw-v5-dp0.15-nograd,stability_residual,GCN,0.66,0.645918141719671,0.652,0.2893586005830904,0.25078963992419456,0.2686971235194585,0.19997084973036006,0.6230869889259338,0.6602295637130737,13722,10978,1.9315781593322754,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,True,stability_residual,5.0,False,0.1,True,0.8429648280143738,0.15703511238098145,0.7529950141906738,0.40693792700767517,0.5,0.6442180871963501,0.08361008763313293,0.7786251902580261,-1.0,0.4999999701976776,0.2887066900730133,0.0,0.7499998807907104,0.3243373930454254,,0.5,,0.6749287917737175,0.6571429528930564,0.6571428930491818,0.6129795199898888,True,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-shuffled-residual-v5,stability_residual,GCN,0.648,0.6292818458026673,0.626,0.16690962099125364,0.14466203411244472,0.1549915397631134,0.19997084973036006,0.6230869889259338,0.6221534013748169,13722,10978,1.9180617332458496,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.7521446943283081,0.40778395533561707,0.5,0.6413882374763489,0.0883609801530838,0.7797927260398865,0.0001289661886403337,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3227941393852234,0.01135674212127924,0.5,0.0016943927621468902,0.6763425434652045,0.6589798606212225,0.6602110884954461,0.6129795199898888,,True,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-nograd,stability_residual,GCN,0.62,0.6115753142595144,0.6,0.1946064139941691,0.16866708780795958,0.18071065989847715,0.19997084973036006,0.6230869889259338,0.6285297870635986,13722,10978,1.9086663722991943,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.45585766434669495,0.08061128109693527,0.5000000596046448,1.4657528400421143,0.23337696492671967,0.40957745909690857,0.01225309632718563,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32207974791526794,-0.11069773882627487,0.5,0.0034526996314525604,0.6118312656476772,0.49589871974802374,0.4832911114850688,0.6129795199898888,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-grad-real,stability_residual,GCN,0.624,0.6217805474101187,0.626,0.30466472303207,0.2640555906506633,0.28291032148900175,0.19997084973036006,0.6230869889259338,0.6591364145278931,13722,10978,2.8222198486328125,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,real,,stability_residual,5.0,True,0.1,False,0.8429648280143738,0.15703511238098145,0.6912900805473328,0.31379103660583496,0.5,1.2858363389968872,0.05169476196169853,0.5520277619361877,0.0022589676082134247,0.4999999701976776,0.2887066900730133,0.10647135227918625,0.7244342565536499,0.3306175470352173,0.04753033444285393,0.5,2.882243279600516e-05,0.6840443902711094,0.6200156036918405,0.625093745429424,0.6129795199898888,,,0.1,0.8565806150436401,0.21869660913944244
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-grad-shuffled,stability_residual,GCN,0.645,0.6394402963093583,0.656,0.2791545189504373,0.2419456727732154,0.2592216582064298,0.19997084973036006,0.6230869889259338,0.6567680835723877,13722,10978,3.1205873489379883,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,shuffled,,stability_residual,5.0,True,0.1,False,0.8429648280143738,0.15703511238098145,0.7529479265213013,0.40692880749702454,0.5000000596046448,0.6444562077522278,0.08337294310331345,0.7785980105400085,0.0001454724551877007,0.4999999701976776,0.2887066900730133,0.13591313362121582,0.7162758708000183,0.3216278553009033,0.012061635963618755,0.5,0.0016315279062837362,0.6685396801991221,0.6556446118849456,0.656909801157955,0.6129795199898888,,,0.1,0.7640103101730347,0.21130138635635376
