dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_lambda_pos,diag_lambda_neg,diag_consistency_weight,diag_num_checkpoints,diag_feature_risk_mean,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,diag_mode,diag_degree_norm,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
Wisconsin,degree_aligned_random,0.3,6,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.5490196078431373,0.31892655367231637,0.6625,0.39166666666666666,0.34306569343065696,0.3657587548638132,0.2016806722689075,0.20336134731769562,0.21684210002422333,1190,950,0.6496415138244629,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6647521257400513,-6.957157893339172e-05,0.7871848940849304,0.3313980996608734,0.5,0.30323609709739685,0.3844693899154663,0.6259044401236733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,6,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.5490196078431373,0.33681355932203394,0.725,0.48333333333333334,0.4233576642335766,0.45136186770428016,0.2016806722689075,0.20336134731769562,0.21263156831264496,1190,950,0.3632054328918457,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6647521257400513,,,,,0.30000001192092896,0.2987973093986511,0.7143164504510247,feature_pos_neg,False,-3.310105967102572e-05,0.0007307798368856311,0.0007638809620402753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,6,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.5882352941176471,0.368922305764411,0.675,0.4666666666666667,0.40875912408759124,0.43579766536964976,0.2016806722689075,0.20336134731769562,0.2084210366010666,1190,950,1.174616813659668,0.3,,,,,200.0,stability_residual,,,,,0.6647521257400513,,,,,,,0.7121290600197623,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.33524787425994873,0.8493868112564087,0.3837936818599701,0.5,0.6278358101844788,0.07048578560352325,0.7714712023735046,0.025233449414372444,0.5,0.2890393137931824,0.10000000149011612,0.7215734720230103,0.3330777883529663,1.0,0.0,0.15891718864440918,0.5,-0.015406565740704536,0.5199773690753196,0.5531189239154688,0.7307876199279636
Wisconsin,degree_aligned_random,0.3,6,Random-Matched,random_matched,GCN,0.5490196078431373,0.27692307692307694,0.625,0.2833333333333333,0.24817518248175183,0.2645914396887159,0.2016806722689075,0.20336134731769562,0.21052630245685577,1190,950,0.2274484634399414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,Feature-only,feature_only,GCN,0.6274509803921569,0.34353944562899785,0.7,0.425,0.3722627737226277,0.39688715953307396,0.2016806722689075,0.19663865864276886,0.20421051979064941,1190,950,0.22399520874023438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,GCN-Jaccard,jaccard,GCN,0.5686274509803921,0.3225765907305577,0.675,0.35833333333333334,0.31386861313868614,0.33463035019455256,0.2016806722689075,0.19663865864276886,0.2063157856464386,1190,950,0.20722079277038574,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,DegreeAwareRandom,degree_aware_random,GCN,0.6274509803921569,0.3396825396825397,0.5875,0.2109375,0.19708029197080293,0.2037735849056604,0.21512605042016808,0.19663865864276886,0.20342612266540527,1190,934,0.18570494651794434,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.6274509803921569,0.40945321250381833,0.6625,0.35,0.30656934306569344,0.32684824902723736,0.2016806722689075,0.19663865864276886,0.21052630245685577,1190,950,0.6363563537597656,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6614603400230408,-2.0389288692967966e-05,0.778151273727417,0.3294156789779663,0.5,0.30030500888824463,0.4164717197418213,0.5845711280400345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.6078431372549019,0.42058823529411765,0.6875,0.30833333333333335,0.27007299270072993,0.28793774319066145,0.2016806722689075,0.19663865864276886,0.19789472222328186,1190,950,0.3832426071166992,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6614603400230408,,,,,0.30000001192092896,0.31754615902900696,0.6038233512893252,feature_pos_neg,False,3.0206412702682428e-05,0.0002848908770829439,0.00025468444800935686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,7,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.5294117647058824,0.32333333333333336,0.675,0.44166666666666665,0.38686131386861317,0.41245136186770426,0.2016806722689075,0.19663865864276886,0.2084210366010666,1190,950,1.2104337215423584,0.3,,,,,200.0,stability_residual,,,,,0.6614603400230408,,,,,,,0.6756765371497786,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.33853965997695923,0.8118649125099182,0.39356502890586853,0.5,0.836061954498291,0.05135459452867508,0.6809622049331665,0.00716035719960928,0.5,0.28903928399086,0.10000000149011612,0.7266073226928711,0.3313661515712738,1.0,0.0,0.08465446531772614,0.5,-0.006902763154357672,0.5406958212475697,0.5548481178083065,0.6753737290026457
