dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
PubMed,low_feature_similarity,0.3,4,Feature-only,feature_only,GCN,0.737,0.7307201651789659,0.734,0.991235682054842,0.85906595472663,0.920430280810604,0.19999652904323073,0.6762985587120056,0.7805930972099304,115242,92194,5.129325866699219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,4,GCN-Jaccard,jaccard,GCN,0.748,0.742225194906152,0.76,0.957306490801805,0.8296608257501692,0.8889247008581442,0.19999652904323073,0.6762985587120056,0.7766448855400085,115242,92194,3.1924965381622314,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,4,DegreeAwareRandom,degree_aware_random,GCN,0.689,0.6818678505660792,0.7,0.19322906355177194,0.22020004512296007,0.2058347978910369,0.2629770396209715,0.6762985587120056,0.6666431427001953,115242,84936,2.8483524322509766,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.731,0.7270339701746255,0.716,0.5739326622700451,0.4974054297961946,0.5329358204745981,0.19999652904323073,0.6762985587120056,0.7285506725311279,115242,92194,8.318932294845581,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.7899653315544128,1.6594297491678844e-08,6.80972931377255e-08,5.1502997422403496e-08,0.30000001192092896,0.2458365559577942,0.879241052457243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.677,0.6768918891524255,0.694,0.11489066296424852,0.09957133187937128,0.10668385641190926,0.19999652904323073,0.6762985587120056,0.6682864427566528,115242,92194,12.743711709976196,0.3,0.1,0.5,,0.1,0.5,,0.7899653315544128,,,,0.2492530196905136,0.27221739292144775,0.44428720918821996,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,5.9692553122658865e-09,0.9807708859443665,0.9251770973205566,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,4,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.732,0.727488488926657,0.734,0.884588684484554,0.766639091524404,0.8214012328270417,0.19999652904323073,0.6762985587120056,0.7740200161933899,115242,92194,16.2540123462677,0.3,,,,,,,0.7899653315544128,,,,,,0.9785963245534904,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.21003466844558716,0.7567456960678101,0.3984813690185547,0.5,0.4776168763637543,0.04012184217572212,0.8052487373352051,0.009324033744633198,0.4999999701976776,0.2886788845062256,0.10000693798065186,0.7262428998947144,0.3339860439300537,0.9999999403953552,0.0,0.09656146168708801,0.5,-0.0072222803719341755,0.5888344969861934,0.6333045646693438,0.9984725037128575
PubMed,low_feature_similarity,0.3,4,Random-Matched,random_matched,GCN,0.707,0.7025515208457281,0.714,0.2336862200624783,0.2025268857637061,0.21699367471093026,0.19999652904323073,0.6762985587120056,0.6763997673988342,115242,92194,5.336198091506958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,5,Feature-only,feature_only,GCN,0.739,0.741179011952744,0.76,0.991235682054842,0.85906595472663,0.920430280810604,0.19999652904323073,0.6775828003883362,0.7810269594192505,115242,92194,5.050965070724487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,5,GCN-Jaccard,jaccard,GCN,0.748,0.7449708162413233,0.774,0.957306490801805,0.8296608257501692,0.8889247008581442,0.19999652904323073,0.6775828003883362,0.7776861786842346,115242,92194,3.016554594039917,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,5,DegreeAwareRandom,degree_aware_random,GCN,0.688,0.6801760814741709,0.696,0.1926932207860723,0.21974881552229827,0.2053336144197323,0.26316794224327933,0.6775828003883362,0.6691476106643677,115242,84914,2.736685037612915,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
