noise_type,method,test_acc_mean,test_acc_std,bad_edge_f1_mean
cross_class_oracle,Feature-only,0.6656666666666666,0.043809245599530706,0.5956421976225524
cross_class_oracle,GraGE-FO-absgrad,0.6027777777777777,0.05392304186935715,0.12174768981230288
cross_class_oracle,GraGE-FO-grad,0.5974444444444444,0.044919681407794704,0.09259224577344663
cross_class_oracle,GraGE-FO-neggrad,0.5713333333333332,0.03724580513292735,0.0195096133586018
cross_class_oracle,GraGE-Hybrid-FO-pos-lam0.25,0.6586666666666666,0.04320300915445587,0.5542629694490184
cross_class_oracle,GraGE-Hybrid-FO-pos-lam0.5,0.6564444444444444,0.04369814387108195,0.5024831840104143
cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.6681111111111111,0.04935444368150764,0.6339891590289661
cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,0.6641111111111111,0.050125952470861976,0.5961435738236647
cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,0.6563333333333333,0.04760252094164762,0.5227560095078503
cross_class_oracle,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,0.658,0.036837480912787705,0.5606594009830654
cross_class_oracle,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,0.6534444444444445,0.04159059722795259,0.5516230022092636
degree_aligned_random,Feature-only,0.708,0.05345558904361639,0.5763200455118213
degree_aligned_random,GraGE-FO-absgrad,0.6579999999999999,0.07349829930005186,0.17607626889067352
degree_aligned_random,GraGE-FO-grad,0.6732222222222222,0.06253354655258604,0.1535689536014765
degree_aligned_random,GraGE-FO-neggrad,0.6226666666666667,0.07539064928756081,0.03300109787957992
degree_aligned_random,GraGE-Hybrid-FO-pos-lam0.25,0.7092222222222222,0.05342466138820578,0.5534658308898577
degree_aligned_random,GraGE-Hybrid-FO-pos-lam0.5,0.7071111111111111,0.049928560074481536,0.5151642004997103
degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.7044444444444444,0.05500252519455608,0.6066629196284284
degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,0.7025555555555556,0.054797607409245316,0.5860248635508035
degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,0.708,0.05110528348419566,0.5316059885364212
degree_aligned_random,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,0.7040000000000001,0.0517663017802122,0.5162734896542811
degree_aligned_random,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,0.705,0.05549774770204644,0.5164348097553474
feature_similar_cross_class,Feature-only,0.6085555555555556,0.050326710381046934,0.26837966317964346
feature_similar_cross_class,GraGE-FO-absgrad,0.5964444444444444,0.05719289971471788,0.11992975892705934
feature_similar_cross_class,GraGE-FO-grad,0.596,0.055524769247606964,0.1069394287972827
feature_similar_cross_class,GraGE-FO-neggrad,0.5740000000000001,0.053586378866275354,0.019672912016105177
feature_similar_cross_class,GraGE-Hybrid-FO-pos-lam0.25,0.6055555555555556,0.0486649543077745,0.2503179455839983
feature_similar_cross_class,GraGE-Hybrid-FO-pos-lam0.5,0.6092222222222223,0.04472073841568856,0.2415356915128375
feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.6255555555555555,0.04523856516046655,0.36137056930078837
feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,0.6160000000000001,0.04676804464589047,0.29717555288590236
feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,0.6113333333333333,0.041967249135486565,0.25756249624977123
feature_similar_cross_class,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,0.6014444444444444,0.04553326012683237,0.25475378938592663
feature_similar_cross_class,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,0.5997777777777777,0.04145412457698806,0.26126548125411975
low_feature_similarity,Feature-only,0.694,0.05121035051627749,0.7662067118108853
low_feature_similarity,GraGE-FO-absgrad,0.6347777777777778,0.06707603479965439,0.12005712219825106
low_feature_similarity,GraGE-FO-grad,0.6375555555555555,0.08444985362792391,0.0842475884046831
low_feature_similarity,GraGE-FO-neggrad,0.6222222222222222,0.07514282696601478,0.0185261054141527
low_feature_similarity,GraGE-Hybrid-FO-pos-lam0.25,0.6948888888888889,0.052908988944328855,0.7238327958664947
low_feature_similarity,GraGE-Hybrid-FO-pos-lam0.5,0.6884444444444444,0.049071659619150595,0.6396005317193425
low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.6973333333333334,0.05457563558951922,0.7999375160307859
low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,0.6957777777777777,0.051285421363623865,0.7697229852850755
low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,0.6926666666666667,0.05287958017987665,0.668156762260094
low_feature_similarity,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,0.694,0.05413640180137575,0.720693529014628
low_feature_similarity,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,0.6957777777777777,0.050526670624972354,0.7297537249778883
random_inter_community,Feature-only,0.6993333333333333,0.05805170109479997,0.6047656732235708
