dataset,noise_type,noise_ratio,seed,score_component,auc,ap,bad_mean,bad_std,clean_mean,clean_std
Cora,low_feature_similarity,0.1,0,D,0.542207620619913,0.09484445708287266,0.06475377082824707,0.28356167674064636,0.0851067304611206,0.4991505444049835
Cora,low_feature_similarity,0.1,0,M,0.3410365643647918,0.08972275908868814,0.9432907700538635,1.5899930000305176,0.8201754093170166,1.2993441820144653
Cora,low_feature_similarity,0.1,0,rho,0.09873032810281959,0.05352119549072217,0.010178905911743641,0.0624612532556057,0.01587626151740551,0.0756227895617485
Cora,low_feature_similarity,0.1,0,H,0.636094169849021,0.12140493363144364,0.008760939352214336,0.061177246272563934,0.01158614456653595,0.08456738293170929
Cora,low_feature_similarity,0.1,0,R,0.07006141636940799,0.04904559632744884,0.0007270337082445621,0.014256488531827927,0.004324734676629305,0.03897949680685997
Cora,low_feature_similarity,0.1,0,P,0.5575895755752468,0.10325676432563513,-0.008033905178308487,0.06291773915290833,-0.0072614108212292194,0.09365499764680862
Cora,low_feature_similarity,0.1,0,P_avg,0.4963241136276634,0.08411528982451379,-0.008033904246985912,0.06052185595035553,-0.007261409889906645,0.08626414090394974
