dataset,noise_type,noise_ratio,seed,score_component,auc,ap,bad_mean,bad_std,clean_mean,clean_std
Cora,cross_class_train_safe,0.1,0,D,0.4520856686988722,0.09889539994978803,0.053284209221601486,0.3935388922691345,0.0006482285680249333,0.4225970506668091
Cora,cross_class_train_safe,0.1,0,M,0.7351615455799837,0.1419238355060919,1.1740734577178955,0.4465048313140869,0.773354172706604,1.2672743797302246
Cora,cross_class_train_safe,0.1,0,rho,0.9985826922537647,0.9786151768574453,1.0,0.0,0.015996456146240234,0.0758245587348938
Cora,cross_class_train_safe,0.1,0,H,0.3083670321041618,0.06598485691711195,0.21471725404262543,0.307331919670105,0.0029208038467913866,0.03227236494421959
Cora,cross_class_train_safe,0.1,0,R,0.46183811934979174,0.3995774679899529,0.16051015257835388,0.27647316455841064,0.006012561731040478,0.04709712043404579
Cora,cross_class_train_safe,0.1,0,P,0.44589576653793805,0.39781771835691426,-0.05420708656311035,0.4897131323814392,0.003091758582741022,0.05740005522966385
Cora,cross_class_train_safe,0.1,0,P_avg,0.4459364818914187,0.40334178211606303,-0.05420708656311035,0.47205087542533875,0.0030917583499103785,0.0516483336687088
