dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Cora,cross_class_oracle,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.644,0.6323507381187644,0.63,0.3717201166180758,0.3221730890713834,0.34517766497461927,0.19997084973036006,0.6230869889259338,0.6653306484222412,13722,10978,3.6873672008514404,0.1,0.5,0.3,,0.1,0.5,,0.8586967587471008,,,,0.3140918016433716,0.34009233117103577,0.6288709112570398,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.686502315578764e-07,0.9103628993034363,0.5698469281196594,0.4999999701976776
Cora,cross_class_oracle,0.3,2,DegreeAwareRandom,degree_aware_random,GCN,0.643,0.6278351801284948,0.646,0.22236180904522612,0.22362602653190145,0.22299212598425197,0.23203614633435354,0.6230869889259338,0.6247864961624146,13722,10538,0.7092232704162598,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,2,GCN-Jaccard,jaccard,GCN,0.687,0.6773574906393177,0.648,0.5145772594752187,0.4459886291850916,0.477834179357022,0.19997084973036006,0.6230869889259338,0.6879212856292725,13722,10978,0.9427492618560791,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,2,Random-Matched,random_matched,GCN,0.611,0.6015182227142085,0.632,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,1.999171257019043,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,3,Feature-only,feature_only,GCN,0.676,0.6660053375352736,0.65,0.5225947521865889,0.45293746051800376,0.4852791878172588,0.19997084973036006,0.6230869889259338,0.6895609498023987,13722,10978,1.7381014823913574,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.667,0.6553495609974276,0.63,0.42128279883381925,0.3651295009475679,0.39120135363790187,0.19997084973036006,0.6230869889259338,0.6702495813369751,13722,10978,3.1503288745880127,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8588442802429199,8.296511566641129e-08,8.072176456153102e-07,7.24252572581463e-07,0.2999999523162842,0.27690717577934265,0.7019422568848582,,,,,,,,,,
Cora,cross_class_oracle,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.643,0.6291009065197544,0.64,0.358600583090379,0.3108022741629817,0.332994923857868,0.19997084973036006,0.6230869889259338,0.6602295637130737,13722,10978,5.11244535446167,0.1,0.5,0.3,,0.1,0.5,,0.8588442802429199,,,,0.3261955976486206,0.34617966413497925,0.6438792762338191,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,8.167835119365918e-08,0.8939294219017029,0.5305318832397461,0.4999999403953552
Cora,cross_class_oracle,0.3,3,DegreeAwareRandom,degree_aware_random,GCN,0.636,0.6130397436803937,0.606,0.20802005012531327,0.20972836386607707,0.20887071406102545,0.23261915172715353,0.6230869889259338,0.6188033819198608,13722,10530,0.5846805572509766,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,3,GCN-Jaccard,jaccard,GCN,0.677,0.6676295983764751,0.648,0.5153061224489796,0.44662034112444726,0.47851099830795263,0.19997084973036006,0.6230869889259338,0.6879212856292725,13722,10978,1.032724142074585,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,3,Random-Matched,random_matched,GCN,0.661,0.631025277075446,0.618,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.19997084973036006,0.6230869889259338,0.6237930059432983,13722,10978,1.2192330360412598,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,4,Feature-only,feature_only,GCN,0.681,0.6539810082848433,0.658,0.4978134110787172,0.4314592545799116,0.4622673434856176,0.19997084973036006,0.6230869889259338,0.6850063800811768,13722,10978,0.8317761421203613,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.652,0.6211391089165995,0.614,0.3877551020408163,0.33607075173720785,0.3600676818950931,0.19997084973036006,0.6230869889259338,0.663326621055603,13722,10978,1.2385025024414062,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8580969572067261,3.9130536606535316e-06,2.4831309929140843e-05,2.0918256268487312e-05,0.2999999523162842,0.2788882255554199,0.679320673880327,,,,,,,,,,
Cora,cross_class_oracle,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.651,0.6236658792325794,0.648,0.35714285714285715,0.30953885028427036,0.3316412859560067,0.19997084973036006,0.6230869889259338,0.6589542627334595,13722,10978,2.008897066116333,0.1,0.5,0.3,,0.1,0.5,,0.8580969572067261,,,,0.32234659790992737,0.3463979661464691,0.6267405291682634,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,8.156115427482291e-08,0.908285915851593,0.5300443768501282,0.4999999701976776
Cora,cross_class_oracle,0.3,4,DegreeAwareRandom,degree_aware_random,GCN,0.637,0.5941390261876078,0.652,0.2222222222222222,0.22362602653190145,0.2229219143576826,0.2321818976825536,0.6230869889259338,0.6241457462310791,13722,10536,0.484081506729126,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,4,GCN-Jaccard,jaccard,GCN,0.684,0.6560216230983436,0.658,0.4912536443148688,0.4257738471257107,0.45617597292724194,0.19997084973036006,0.6230869889259338,0.6835489273071289,13722,10978,0.5789968967437744,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,4,Random-Matched,random_matched,GCN,0.658,0.6281840268775355,0.624,0.22157434402332363,0.19204042956411876,0.20575296108291033,0.19997084973036006,0.6230869889259338,0.6232464909553528,13722,10978,0.7466282844543457,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,5,Feature-only,feature_only,GCN,0.674,0.6669722397353358,0.654,0.5123906705539358,0.44409349336702464,0.4758037225042301,0.19997084973036006,0.6230869889259338,0.6877390742301941,13722,10978,1.8066246509552002,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,5,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.649,0.6408610427540885,0.598,0.39504373177842567,0.34238787113076435,0.3668358714043993,0.19997084973036006,0.6230869889259338,0.667516827583313,13722,10978,1.818406581878662,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8579667210578918,5.237351615505759e-06,3.5111042961943895e-05,2.9873692255932838e-05,0.2999999523162842,0.2804007828235626,0.6713951306714938,,,,,,,,,,
Cora,cross_class_oracle,0.3,5,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.643,0.6342337884783734,0.632,0.35422740524781343,0.30701200252684774,0.32893401015228424,0.19997084973036006,0.6230869889259338,0.659865140914917,13722,10978,2.2538228034973145,0.1,0.5,0.3,,0.1,0.5,,0.8579667210578918,,,,0.32925793528556824,0.3381127715110779,0.6251489813255993,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.744702160522138e-08,0.8840183019638062,0.51474928855896,0.4999999403953552
Cora,cross_class_oracle,0.3,5,DegreeAwareRandom,degree_aware_random,GCN,0.621,0.6039855849819065,0.624,0.2292713567839196,0.23057485786481363,0.2299212598425197,0.23203614633435354,0.6230869889259338,0.6240273714065552,13722,10538,0.4976806640625,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,5,GCN-Jaccard,jaccard,GCN,0.676,0.6701313794058323,0.652,0.5123906705539358,0.44409349336702464,0.4758037225042301,0.19997084973036006,0.6230869889259338,0.6875569224357605,13722,10978,0.9116735458374023,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,5,Random-Matched,random_matched,GCN,0.623,0.5929348525981507,0.598,0.22886297376093295,0.1983575489576753,0.2125211505922166,0.19997084973036006,0.6230869889259338,0.6226999163627625,13722,10978,0.7700495719909668,,,,,,,,,,,,,,,,,,,,,,,,
