conf_stratum,count,bad_count,sr_pruned_count,conf_pruned_count,sr_bad_edge_rate,conf_bad_edge_rate,sr_minus_conf_bad_rate
0,687,12,0,0,,,
1,686,37,0,0,,,
2,686,71,0,0,,,
3,686,97,0,0,,,
4,686,207,1,0,0.0,,
5,686,257,30,0,0.5333333333333333,,
6,686,306,150,0,0.44,,
7,686,248,295,34,0.3389830508474576,0.0,0.3389830508474576
8,686,203,423,652,0.28841607565011823,0.28680981595092025,0.001606259699197976
9,686,145,473,686,0.20718816067653276,0.21137026239067055,-0.004182101714137798
