dataset,noise_type,method,n_seeds,method_mean_acc,method_std_acc,fo_mean_acc,fo_std_acc,delta_pp,delta_std_pp,t_stat,t_pval,wilcoxon_pval,win_rate,cohens_d,mean_runtime
CiteSeer,feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,20,0.5289,0.01648571949805107,0.5597,0.017938784797192898,-3.0799999999999983,1.964313191878898,-7.012211086473166,1.119614346840059e-06,0.00010305922341480608,0.05,-1.5679780661931653,1.8166029691696166
CiteSeer,feature_similar_cross_class,MCGC-cw3.0-lp0.1-ln0.5,20,0.5570999999999999,0.012904099715736988,0.5597,0.017938784797192898,-0.259999999999998,1.4372488338928313,-0.8090146402488455,0.4285218062365596,0.386781015575805,0.4,-0.18090117303889558,3.046081614494324
CiteSeer,feature_similar_cross_class,DegreeAwareRandom,20,0.54665,0.019470017435723262,0.5597,0.017938784797192898,-1.3049999999999988,2.4262761156706105,-2.4053888111004906,0.026506189278447063,0.06193006701281811,0.4,-0.5378612893938098,0.6705427885055542
CiteSeer,feature_similar_cross_class,GCN-Jaccard,20,0.55365,0.01607965370142945,0.5597,0.017938784797192898,-0.6049999999999989,1.2987747262222487,-2.0832267506811233,0.0509774562730545,0.007158956121192586,0.15,-0.4658236627068998,0.8826672554016113
CiteSeer,feature_similar_cross_class,Random-Matched,20,0.54365,0.01217103982929624,0.5597,0.017938784797192898,-1.6049999999999973,1.9046964117813172,-3.7684631332199996,0.0013000482346037848,0.0024906653810712197,0.2,-0.8426539736581765,1.0503067374229431
Cora,feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,20,0.5946,0.01429906143405004,0.6025999999999999,0.015902333493117173,-0.8000000000000007,1.0833670709996304,-3.30239755275051,0.0037450682511653453,0.006033561276930107,0.2,-0.7384385416679087,2.2425776958465575
Cora,feature_similar_cross_class,MCGC-cw3.0-lp0.1-ln0.5,20,0.6183500000000001,0.020277742529809965,0.6025999999999999,0.015902333493117173,1.5750000000000015,1.634456291376755,4.30945395498541,0.0003781454754959994,0.0015980599528833245,0.85,0.9636231989252697,3.2075273752212525
Cora,feature_similar_cross_class,DegreeAwareRandom,20,0.6425500000000001,0.014687893331799363,0.6025999999999999,0.015902333493117173,3.995000000000003,1.4343437890767894,12.45599784116111,1.3765067935944192e-10,8.794879347050151e-05,1.0,2.785245790042687,0.5858853578567504
Cora,feature_similar_cross_class,GCN-Jaccard,20,0.59815,0.01836264801452295,0.6025999999999999,0.015902333493117173,-0.44500000000000045,1.1682082546856924,-1.703549424507579,0.10476676717507497,0.10395918339133761,0.4,-0.3809252316229593,0.7769927382469177
Cora,feature_similar_cross_class,Random-Matched,20,0.64605,0.014630447703334317,0.6025999999999999,0.015902333493117173,4.345000000000003,1.9462446971161254,9.984063542095184,5.399962165688941e-09,8.832385863081277e-05,1.0,2.2325044771802163,0.9829425573348999
PubMed,feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,20,0.63615,0.01781860352493842,0.67245,0.0158296025152078,-3.6300000000000012,1.925206755813926,-8.432264985370486,7.603836322619582e-08,9.5367431640625e-06,0.05,-1.8855117711579679,8.810327243804931
PubMed,feature_similar_cross_class,MCGC-cw3.0-lp0.1-ln0.5,20,0.6378,0.015087813137203095,0.67245,0.0158296025152078,-3.4650000000000007,1.9046411459214159,-8.135890121483754,1.303826780065432e-07,0.00015049174783470656,0.05,-1.8192403369106698,13.750015485286713
PubMed,feature_similar_cross_class,DegreeAwareRandom,20,0.634,0.014814644248530798,0.67245,0.0158296025152078,-3.845000000000001,1.9556867147669106,-8.7924935098937,4.008521810953184e-08,8.819870204194453e-05,0.0,-1.9660613179848028,2.9480687737464906
PubMed,feature_similar_cross_class,GCN-Jaccard,20,0.6725,0.014964871146156,0.67245,0.0158296025152078,0.0050000000000005596,2.0032802048009564,0.01116203301036568,0.9912105419082744,0.7088084595496063,0.5,0.002495906457827428,3.45010187625885
PubMed,feature_similar_cross_class,Random-Matched,20,0.6403,0.017592163327070275,0.67245,0.0158296025152078,-3.2150000000000003,2.0306273337126766,-7.080529675051667,9.77649725559512e-07,0.00021367000439069728,0.05,-1.5832545670120022,5.483915829658509
