dataset,noise_type,method,n_seeds,method_mean_acc,method_std_acc,fo_mean_acc,fo_std_acc,delta_pp,delta_std_pp,t_stat,t_pval,wilcoxon_pval,win_rate,cohens_d,mean_runtime
Actor,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,5,0.28421052631578947,0.009791365832985002,0.29434210526315785,0.00292744677122198,-1.013157894736838,0.7847997609708772,-2.8867107729104107,0.0447104101589412,,0.2,-1.2909763039217272,9.969090461730957
Actor,degree_aligned_random,MCGC-cw3.0-lp0.1-ln0.5,5,0.2851315789473684,0.01573180257276217,0.29434210526315785,0.00292744677122198,-0.9210526315789469,1.417911977779761,-1.4525135038992492,0.2200081382881079,,0.2,-0.6495837865910253,21.27989058494568
Actor,degree_aligned_random,DegreeAwareRandom,5,0.2761842105263158,0.009504245297253223,0.29434210526315785,0.00292744677122198,-1.8157894736842095,0.8198646094565436,-4.952316088723267,0.007748401824217878,,0.0,-2.2147430840902205,1.8354320049285888
Actor,degree_aligned_random,GCN-Jaccard,5,0.2946052631578947,0.003645235572946066,0.29434210526315785,0.00292744677122198,0.026315789473686513,0.18953763540642182,0.3104602102825576,0.7717151268489418,,0.6,0.1388420269001356,2.315619468688965
Actor,degree_aligned_random,Random-Matched,5,0.28421052631578947,0.01619543898038312,0.29434210526315785,0.00292744677122198,-1.0131578947368391,1.5064209294285942,-1.503889039454251,0.20704645695193016,,0.4,-0.6725596245673138,5.248462295532226
Actor,feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,5,0.2760526315789474,0.008038709154792581,0.28078947368421053,0.00963989790293174,-0.47368421052631504,1.0406389205103206,-1.017826715615964,0.3663155635376732,,0.2,-0.4551859450865285,12.781485223770142
Actor,feature_similar_cross_class,MCGC-cw3.0-lp0.1-ln0.5,5,0.2744736842105263,0.007122299264591779,0.28078947368421053,0.00963989790293174,-0.6315789473684219,1.0113192475665753,-1.3964467331870736,0.2350860661872369,,0.2,-0.6245099644727615,18.94276924133301
Actor,feature_similar_cross_class,DegreeAwareRandom,5,0.2760526315789474,0.009287740258726723,0.28078947368421053,0.00963989790293174,-0.47368421052631393,0.7817605672375214,-1.354877873090965,0.2469239289203004,,0.2,-0.6059198050883461,1.841374921798706
Actor,feature_similar_cross_class,GCN-Jaccard,5,0.28144736842105267,0.009025395073496052,0.28078947368421053,0.00963989790293174,0.06578947368421129,0.113950711024271,1.2909944487357894,0.2662646279663151,,0.4,0.5773502691896184,2.371714639663696
Actor,feature_similar_cross_class,Random-Matched,5,0.2722368421052631,0.008300952787151301,0.28078947368421053,0.00963989790293174,-0.8552631578947377,1.328067713038576,-1.4400068166164504,0.2232854379110336,,0.4,-0.6439906260034914,9.951169347763061
Texas,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,5,0.664864864864865,0.056044436090074916,0.6162162162162161,0.029606624730009,4.864864864864867,7.971827677704122,1.3645764784420265,0.2441104439372193,,0.6,0.6102571532587295,0.6025506019592285
Texas,degree_aligned_random,MCGC-cw3.0-lp0.1-ln0.5,5,0.6108108108108108,0.06222088882822346,0.6162162162162161,0.029606624730009,-0.5405405405405395,7.971827677704122,-0.15161960871578037,0.8868266377960945,,0.4,-0.0678063503620809,0.8769809246063233
Texas,degree_aligned_random,DegreeAwareRandom,5,0.6270270270270271,0.05198752449100363,0.6162162162162161,0.029606624730009,1.0810810810810834,3.62605617972939,0.6666666666666677,0.5414697392755842,,0.6,0.29814239699997247,0.230452299118042
Texas,degree_aligned_random,GCN-Jaccard,5,0.6054054054054053,0.024173707864862587,0.6162162162162161,0.029606624730009,-1.0810810810810811,1.480331236500449,-1.632993161855452,0.17780780835622137,,0.0,-0.7302967433402214,0.30851006507873535
Texas,degree_aligned_random,Random-Matched,5,0.572972972972973,0.0924466560891193,0.6162162162162161,0.029606624730009,-4.324324324324323,11.241423969235365,-0.8601653289127522,0.43819867819833075,,0.4,-0.38467762946747586,0.313093900680542
Texas,feature_similar_cross_class,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,5,0.6054054054054054,0.03081555202970644,0.6702702702702703,0.012086853932431271,-6.486486486486484,3.0815552029706446,-4.706787243316413,0.00926169675951445,,0.0,-2.1049392463368686,0.6059216022491455
Texas,feature_similar_cross_class,MCGC-cw3.0-lp0.1-ln0.5,5,0.6324324324324324,0.045224866299139216,0.6702702702702703,0.012086853932431271,-3.7837837837837855,4.522486629913923,-1.8708286933869713,0.13470193531896718,,0.0,-0.8366600265340758,0.9845116138458252
Texas,feature_similar_cross_class,DegreeAwareRandom,5,0.6,0.022612433149569604,0.6702702702702703,0.012086853932431271,-7.027027027027026,3.0815552029706406,-5.099019513592788,0.006987374665319724,,0.0,-2.2803508501982774,0.21258473396301264
Texas,feature_similar_cross_class,GCN-Jaccard,5,0.5891891891891892,0.048347415729725174,0.6702702702702703,0.012086853932431271,-8.108108108108105,4.273348189416729,-4.242640687119284,0.013235599563682697,,0.0,-1.8973665961010269,0.3615848541259766
Texas,feature_similar_cross_class,Random-Matched,5,0.5567567567567567,0.08673949478854712,0.6702702702702703,0.012086853932431271,-11.35135135135135,9.044973259827843,-2.806243040080456,0.04850207488314689,,0.0,-1.2549900398011133,0.3131410598754883
Wisconsin,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,5,0.607843137254902,0.048029210642807386,0.5882352941176471,0.06043543140165665,1.96078431372549,1.9607843137254917,2.2360679774997876,0.08900934250008592,,0.6,0.9999999999999991,0.5834084033966065
