run_id,timestamp,seed,dataset,method,oracle_only,proxy_model,downstream_model,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,checkpoint_path,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio
noisy_random_Cora_n0.05_s1,2026-05-30T20:40:34.812131,1,Cora,Random+Noise,False,-,GCN,0.0913825757575758,10560,9595,0,0,0,,0.764,0.766,0.7602878308224386,143,0.6982321739196777,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09141720348616901
noisy_orig_Cora_n0.1_s1,2026-05-30T20:40:35.371600,1,Cora,Original+Noise,False,-,GCN,0.0,10562,10562,0,0,0,,0.774,0.781,0.7779501954688838,81,0.5005576610565186,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s1,2026-05-30T20:40:36.926137,1,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09202802499526608,10562,9590,0,1.0,3.5413589477539062,,0.776,0.758,0.76014577406788,52,0.42992281913757324,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09208033345964381
noisy_random_Cora_n0.1_s1,2026-05-30T20:40:38.325278,1,Cora,Random+Noise,False,-,GCN,0.09202802499526608,10562,9590,0,0,0,,0.754,0.771,0.7701280875466224,66,0.46095895767211914,configs/graca_lite_cora.yaml,,,0.00102880658436214,0.16666666666666666,0.002044989775051125,0.09198560060629025
noisy_orig_Cora_n0.2_s1,2026-05-30T20:40:38.847426,1,Cora,Original+Noise,False,-,GCN,0.0,10574,10574,0,0,0,,0.772,0.788,0.7845918030763345,74,0.5024645328521729,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s1,2026-05-30T20:40:40.567882,1,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0939095895592964,10574,9581,0,1.0,3.5380353927612305,,0.77,0.777,0.7694005229056605,102,0.5815854072570801,configs/graca_lite_cora.yaml,,,0.005035246727089627,0.2777777777777778,0.009891196834817014,0.09359605911330049
noisy_random_Cora_n0.2_s1,2026-05-30T20:40:42.112302,1,Cora,Random+Noise,False,-,GCN,0.0939095895592964,10574,9581,0,0,0,,0.748,0.772,0.7634609019894272,141,0.6821262836456299,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09406972338006821
noisy_orig_Cora_n0.3_s1,2026-05-30T20:40:42.636669,1,Cora,Original+Noise,False,-,GCN,0.0,10578,10578,0,0,0,,0.776,0.779,0.7716120703334272,78,0.5073709487915039,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s1,2026-05-30T20:40:44.397198,1,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09377954244658726,10578,9586,1,0.0,3.539881944656372,,0.776,0.769,0.7581020369132858,113,0.6097784042358398,configs/graca_lite_cora.yaml,,,0.006048387096774193,0.2727272727272727,0.011834319526627219,0.09340659340659341
noisy_random_Cora_n0.3_s1,2026-05-30T20:40:45.749395,1,Cora,Random+Noise,False,-,GCN,0.09377954244658726,10578,9586,0,0,0,,0.774,0.785,0.7783657381558353,65,0.48566651344299316,configs/graca_lite_cora.yaml,,,0.0020161290322580645,0.09090909090909091,0.0039447731755424065,0.09378552482000758
