dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,0,MCGC-cw2.0-lp0.25-ln0.25,mcgc,GCN,0.597,0.5899745549614224,0.604,0.09766763848396501,0.08464939987365762,0.09069373942470389,0.19997084973036006,0.6230869889259338,0.6121333241462708,13722,10978,2.1825971603393555,0.25,0.25,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.628,0.6215418601255195,0.614,0.14795918367346939,0.12823752368919772,0.1373942470389171,0.19997084973036006,0.6230869889259338,0.6228821277618408,13722,10978,2.275472402572632,0.1,0.5,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.25-ln0.25,mcgc,GCN,0.606,0.599959768763281,0.612,0.09766763848396501,0.08464939987365762,0.09069373942470389,0.19997084973036006,0.6230869889259338,0.6123155355453491,13722,10978,2.2828516960144043,0.25,0.25,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.653,0.6332919662446572,0.638,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7473187446594238,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.612,0.5922749263230254,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.8274228572845459,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.616,0.5964893497176263,0.576,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.3052332401275635,0.1,0.5,0.3,,,,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as0.5-lp0.1-ln0.5,faa_hybrid,GCN,0.598,0.5835916512077245,0.596,0.0663265306122449,0.0574857864813645,0.06159052453468697,0.19997084973036006,0.6230869889259338,0.6033886075019836,13722,10978,1.2239141464233398,0.1,0.5,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as0.5-lp0.25-ln0.25,faa_hybrid,GCN,0.615,0.5938573274458709,0.6,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6075787544250488,13722,10978,1.1892790794372559,0.25,0.25,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,GCN,0.594,0.5819889531284659,0.592,0.04956268221574344,0.04295641187618446,0.04602368866328256,0.19997084973036006,0.6230869889259338,0.6004736423492432,13722,10978,1.3307650089263916,0.1,0.5,0.3,1.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as1.0-lp0.25-ln0.25,faa_hybrid,GCN,0.616,0.5913923033352457,0.598,0.09110787172011661,0.07896399241945673,0.08460236886632826,0.19997084973036006,0.6230869889259338,0.6079431176185608,13722,10978,1.269378662109375,0.25,0.25,0.3,1.0,0.0,0.0,,,
