dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_num_views,hp_edge_dropout_rates,hp_total_epochs,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_score_ratio,hp_checkpoint_control,diag_method,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_feature_risk_mean,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_edge_score_auc,diag_residual_auc
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.609,0.5787813717415674,0.594,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1315100193023682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp0.05-0.15-grad,stability_residual,GCN,0.635,0.6105056945277759,0.628,0.30903790087463556,0.26784586228679724,0.28697123519458545,0.19997084973036006,0.6230869889259338,0.6620513796806335,13722,10978,2.662776231765747,3.0,"[0.05, 0.1, 0.15]",40.0,True,0.1,0.3,real,stability_residual,3.0,True,0.1,0.842603862285614,0.1573961079120636,0.617197573184967,0.28294411301612854,0.5,1.746309757232666,0.0021637603640556335,0.34137749671936035,1.8577617083792575e-05,0.4999999701976776,0.2887066602706909,0.10384783148765564,0.7242589592933655,0.330462247133255,0.9087231755256653,0.17605778574943542,-0.0043103331699967384,0.5,0.0014708705712109804,0.6909290689705442,0.6482876154059198
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-shuffled-v3,stability_residual,GCN,0.658,0.6329411365139873,0.642,0.25510204081632654,0.22109917877447885,0.23688663282571912,0.19997084973036006,0.6230869889259338,0.6511204242706299,13722,10978,2.5767147541046143,3.0,"[0.05, 0.1, 0.15]",40.0,True,0.1,0.3,shuffled,stability_residual,3.0,True,0.1,0.842603862285614,0.1573961079120636,0.6125798225402832,0.2624804675579071,0.5,1.882496953010559,0.0009967173682525754,0.2452930361032486,2.45969022216741e-05,0.4999999701976776,0.2887066602706909,0.13175921142101288,0.7165161371231079,0.32245072722435,0.7940715551376343,0.20531708002090454,-0.004959707148373127,0.5,0.000874882738571614,0.6567638419480186,0.6392058885415018
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.652,0.630753403914781,0.64,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7318851947784424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
