dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Actor,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.27960526315789475,0.17741605826918933,0.2808388157894737,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1571251004934311,69433,55529,18.476314783096313,0.1,0.5,0.3,,0.1,0.5,,0.7827644348144531,,,,0.2946629524230957,0.4228811264038086,0.19741791912419313,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.9302203213555913e-07,0.8384593725204468,0.44705823063850403,0.5
Actor,feature_similar_cross_class,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.275,0.15848405158951262,0.2816611842105263,0.21050185873605948,0.28273623767319933,0.24132971072398912,0.3099390779600478,0.16777324676513672,0.16552919149398804,69433,47913,1.6816930770874023,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,0,GCN-Jaccard,jaccard,GCN,0.29210526315789476,0.18560510021978058,0.2833059210526316,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,2.102323532104492,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.2644736842105263,0.16204752650453513,0.2845394736842105,0.23000575373993096,0.19960054924478843,0.21372719374456994,0.2002506012990941,0.16777324676513672,0.1674620509147644,69433,55529,5.792892932891846,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.2756578947368421,0.16928026408163427,0.2911184210526316,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,6.31010890007019,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.2855263157894737,0.17872990549202653,0.29194078947368424,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15806154906749725,69433,55529,11.065943479537964,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.7837744355201721,1.3601929538253898e-07,7.306306315513211e-07,5.946113219579274e-07,0.29999998211860657,0.3209572434425354,0.11585210082630551,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.2835526315789474,0.16491222998611876,0.2923519736842105,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15791748464107513,69433,55529,22.820825815200806,0.1,0.5,0.3,,0.1,0.5,,0.7837744355201721,,,,0.29726290702819824,0.42241641879081726,0.18974778414584742,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.955078173272341e-07,0.8227896094322205,0.42992040514945984,0.5
Actor,feature_similar_cross_class,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.2802631578947368,0.16043524555108052,0.28412828947368424,0.21419942384536753,0.28772937211334415,0.2455785212017899,0.3099678827070701,0.16777324676513672,0.1672893464565277,69433,47911,1.7587549686431885,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,1,GCN-Jaccard,jaccard,GCN,0.2756578947368421,0.16835934140605174,0.2890625,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,2.5262985229492188,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.2789473684210526,0.1585975740648558,0.296875,0.22827963176064442,0.19810260891274498,0.21212323731871952,0.2002506012990941,0.16777324676513672,0.16861459612846375,69433,55529,7.23091197013855,,,,,,,,,,,,,,,,,,,,,,,,
