dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,b0_count,b0_bad_count,b0_fo_prune_count,b0_fo_bad_prune_count,b0_fo_precision,b0_fo_recall,b0_fo_f1,b0_sr_prune_count,b0_sr_bad_prune_count,b0_sr_precision,b0_sr_recall,b0_sr_f1,b0_feature_risk_auc,b0_raw_stability_auc,b0_residual_auc,b0_both_pruned,b0_fo_only_pruned,b0_sr_only_pruned,b0_fo_only_bad_count,b0_sr_only_bad_count,b0_fo_only_bad_rate,b0_sr_only_bad_rate,b1_count,b1_bad_count,b1_fo_prune_count,b1_fo_bad_prune_count,b1_fo_precision,b1_fo_recall,b1_fo_f1,b1_sr_prune_count,b1_sr_bad_prune_count,b1_sr_precision,b1_sr_recall,b1_sr_f1,b1_feature_risk_auc,b1_raw_stability_auc,b1_residual_auc,b1_both_pruned,b1_fo_only_pruned,b1_sr_only_pruned,b1_fo_only_bad_count,b1_sr_only_bad_count,b1_fo_only_bad_rate,b1_sr_only_bad_rate,b2_count,b2_bad_count,b2_fo_prune_count,b2_fo_bad_prune_count,b2_fo_precision,b2_fo_recall,b2_fo_f1,b2_sr_prune_count,b2_sr_bad_prune_count,b2_sr_precision,b2_sr_recall,b2_sr_f1,b2_feature_risk_auc,b2_raw_stability_auc,b2_residual_auc,b2_both_pruned,b2_fo_only_pruned,b2_sr_only_pruned,b2_fo_only_bad_count,b2_sr_only_bad_count,b2_fo_only_bad_rate,b2_sr_only_bad_rate,phase,projection_ratio,projection_beta,residual_feature_sim_corr,alpha,abstention_fraction,gradient_confidence_mean
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.606,0.5759947024767657,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7522804737091064,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,0.15760108691830949,0.5636744704478576,0.564071776726796,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-LowOnly,bucket_gated_residual,GCN,0.605,0.5726417307962598,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6066678762435913,13722,10978,0.8258287906646729,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.5,0.024096385542168676,0.04597701149425288,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,16.0,0.0,8.0,0.0,0.5,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2728.0,234.0,0.08577712609970674,0.19864176570458403,0.11981566820276499,0.15760108691830949,0.5636744704478576,0.564071776726796,2726.0,18.0,2.0,10.0,2.0,0.5555555555555556,1.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-MediumOnly,bucket_gated_residual,GCN,0.644,0.6234390727129905,0.628,0.20699708454810495,0.17940619077700568,0.1922165820642978,0.19997084973036006,0.6230869889259338,0.6268901228904724,13722,10978,0.7850768566131592,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,1166.0,568.0,0.48713550600343053,0.34299516908212563,0.4025513819985826,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,1166.0,0.0,568.0,0.0,0.48713550600343053,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,1578.0,0.0,0.0,0.0,0.0,0.15760108691830949,0.5636744704478576,0.564071776726796,1578.0,1166.0,0.0,242.0,0.0,0.20754716981132076,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-HighOnly,bucket_gated_residual,GCN,0.608,0.5764593590240662,0.6,0.21428571428571427,0.18572331017056223,0.19898477157360409,0.19997084973036006,0.6230869889259338,0.6374567151069641,13722,10978,0.7594559192657471,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2744.0,588.0,0.21428571428571427,0.499151103565365,0.2998470168281489,0.15760108691830949,0.5636744704478576,0.564071776726796,1982.0,762.0,762.0,98.0,444.0,0.12860892388451445,0.5826771653543307,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Stability,feature_plus_stability,GCN,0.623,0.5990944650074433,0.622,0.2631195335276968,0.22804801010739104,0.244331641285956,0.19997084973036006,0.6230869889259338,0.6476589441299438,13722,10978,0.7631499767303467,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,234.0,144.0,0.6153846153846154,0.08695652173913043,0.1523809523809524,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,234.0,0.0,144.0,0.0,0.6153846153846154,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2510.0,578.0,0.2302788844621514,0.4906621392190153,0.3134490238611714,0.15760108691830949,0.5636744704478576,0.564071776726796,1806.0,938.0,704.0,100.0,436.0,0.10660980810234541,0.6193181818181818,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual_full,GCN,0.623,0.5988008935877788,0.62,0.2631195335276968,0.22804801010739104,0.244331641285956,0.19997084973036006,0.6230869889259338,0.6476589441299438,13722,10978,0.7584497928619385,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5741136945331964,0.5738292311970444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,234.0,144.0,0.6153846153846154,0.08695652173913043,0.1523809523809524,0.6079018075232047,0.5914617597568257,0.5913080995303186,0.0,0.0,234.0,0.0,144.0,0.0,0.6153846153846154,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2510.0,578.0,0.2302788844621514,0.4906621392190153,0.3134490238611714,0.15760108691830949,0.5636744704478576,0.564071776726796,1806.0,938.0,704.0,100.0,436.0,0.10660980810234541,0.6193181818181818,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.61,0.5796373987125808,0.602,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7728142738342285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Confidence,feature_plus_confidence,GCN,0.643,0.6206704409662595,0.626,0.2747813411078717,0.2381554011370815,0.255160744500846,0.19997084973036006,0.6230869889259338,0.6527600288391113,13722,10978,0.9559810161590576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,0.0006692506140097976,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Stability,feature_plus_stability,GCN,0.622,0.5975539299653427,0.62,0.2631195335276968,0.22804801010739104,0.244331641285956,0.19997084973036006,0.6230869889259338,0.6476589441299438,13722,10978,0.7529504299163818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1.871154017862864e-05,0.004325841553509235,-0.00011495193029986694,0.5,0.10005829483270645,0.9999999403953552
Cora,feature_similar_cross_class,0.3,0,Feature+Random Stability,feature_plus_random_stability,GCN,0.617,0.5893036976010985,0.636,0.16326530612244897,0.14150347441566646,0.15160744500846024,0.19997084973036006,0.6230869889259338,0.620695948600769,13722,10978,0.8257236480712891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,4.569793964037672e-05,,,,,
