dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_score_ratio,diag_method,diag_lambda_pos,diag_lambda_neg,diag_ambig_scale,diag_base_alpha,diag_base_beta,diag_feature_risk_mean,diag_feature_sim_mean,diag_dynamic_grad_mean,diag_alpha_mean,diag_beta_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.606,0.5758613793632122,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1303982734680176,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,GCN,0.606,0.5727546045791101,0.606,0.047376093294460644,0.0410612760581175,0.04399323181049069,0.19997084973036006,0.6230869889259338,0.5995627641677856,13722,10978,1.2609443664550781,0.1,0.5,1.0,0.0,0.0,0.3,faa_hybrid,0.1,0.5,1.0,0.0,0.0,0.842603862285614,0.1573961079120636,1.776565682121145e-06,0.5786980390548706,0.2893490195274353,0.4568912386894226,0.2907124161720276,0.5775802225091003
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.654,0.6329572530790116,0.638,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7527551651000977,,,,,,,,,,,,,,,,,,,,
