dataset,method,downstream_model,proxy_model,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,prune_ratio_mean,prune_ratio_std,runtime_mean,runtime_std
Actor,GraCA-ablation-global_threshold,GAT,GCN,0.3106085526315789,0.0035799011282366794,0.28986842105263155,0.009241020947062318,0.22242114212602587,0.01522183666920341,0.0,0.0,0.8117617607116699,0.16446857238668178
Actor,GraCA-ablation-global_threshold,GCN,GCN,0.3019736842105263,0.003684632700200639,0.2846052631578947,0.0110440129303912,0.2255149075277257,0.00974327701548024,0.0,0.0,0.33258190155029294,0.002472205540600482
Actor,GraCA-ablation-global_threshold,GraphSAGE,GCN,0.355345394736842,0.005324795836572243,0.32381578947368417,0.008182793074071618,0.29220635319943833,0.012672303219887078,0.0,0.0,0.4219273567199707,0.11037028963493745
Actor,GraCA-ablation-hard_pseudo,GAT,GCN,0.30583881578947364,0.002898775778291891,0.29973684210526313,0.0042279655297525354,0.2160436162836909,0.011468192203516473,0.14147647488345091,0.0004726517280157529,0.5856684684753418,0.05437925546468201
Actor,GraCA-ablation-hard_pseudo,GCN,GCN,0.29580592105263154,0.006300651746505869,0.28736842105263155,0.006519467969388177,0.21427579301056418,0.023259398666984763,0.14147647488345091,0.0004726517280157529,0.32907524108886715,0.010255174254041419
Actor,GraCA-ablation-hard_pseudo,GraphSAGE,GCN,0.3537828947368421,0.004087096592035897,0.3247368421052631,0.006783019167780006,0.29602145654332734,0.017343024945197676,0.14147647488345091,0.0004726517280157529,0.43169374465942384,0.1430070558712461
Actor,GraCA-ablation-harmful_only,GAT,GCN,0.3063322368421052,0.004523026315789441,0.3021052631578947,0.006090414111070051,0.21479685332437506,0.027798601740844437,0.11550804141468982,0.0035158534700150735,0.6003223419189453,0.049520489942463594
Actor,GraCA-ablation-harmful_only,GCN,GCN,0.29720394736842104,0.007040741708225025,0.28763157894736835,0.006036878814186555,0.21458608638646542,0.024507494601907057,0.11550804141468982,0.0035158534700150735,0.31911001205444334,0.006598216192053826
Actor,GraCA-ablation-harmful_only,GraphSAGE,GCN,0.35230263157894737,0.004441931505199468,0.3289473684210526,0.004028766024314445,0.30648752530188156,0.01440506939231843,0.11550804141468982,0.0035158534700150735,0.422098970413208,0.09975263400597767
Actor,GraCA-ablation-helpful_only,GAT,GCN,0.30625,0.0018707751917890275,0.29802631578947364,0.013642395627189295,0.21900674338182563,0.013165098018822059,0.1403156653123888,0.0002185834209836024,0.5990493774414063,0.06322656131103867
Actor,GraCA-ablation-helpful_only,GCN,GCN,0.29761513157894737,0.0038396768190555276,0.28013157894736834,0.00983987098197067,0.21533211652669088,0.019589041539967492,0.1403156653123888,0.0002185834209836024,0.3242170333862304,0.01498939293545228
Actor,GraCA-ablation-helpful_only,GraphSAGE,GCN,0.35542763157894736,0.0039181346215696276,0.32986842105263153,0.004619339389879474,0.2992405984184979,0.022379719393608225,0.1403156653123888,0.0002185834209836024,0.477280330657959,0.2484461443337919
Actor,GraCA-ablation-no_ema,GAT,GCN,0.3064967105263158,0.0028870871186746634,0.2934210526315789,0.007191845759564298,0.2112620625328982,0.016687522026718665,0.14152140944749206,0.00017781670548137486,0.6097977638244629,0.11046256984429807
Actor,GraCA-ablation-no_ema,GCN,GCN,0.2980263157894737,0.005089390936436156,0.28315789473684205,0.005535706307358577,0.19884133659851938,0.023258170085144986,0.14152140944749206,0.00017781670548137486,0.31732926368713377,0.006734160041095462
Actor,GraCA-ablation-no_ema,GraphSAGE,GCN,0.35296052631578945,0.00125394331266257,0.3260526315789473,0.007064331418708476,0.2963522700357336,0.01437758913542676,0.14152140944749206,0.00017781670548137486,0.4165351867675781,0.10309244798454988
Actor,GraCA-ablation-no_reliability,GAT,GCN,0.3055921052631579,0.0030961925324040447,0.29328947368421054,0.0040126186005202255,0.2184765997787851,0.00944656920893555,0.14103836288405008,0.0004121128738098125,0.6280955791473388,0.06979783214192595
Actor,GraCA-ablation-no_reliability,GCN,GCN,0.2981085526315789,0.005951527477849537,0.28486842105263155,0.006412364700532218,0.21534427138676038,0.022178669559921396,0.14103836288405008,0.0004121128738098125,0.32719588279724116,0.010411050804915561
Actor,GraCA-ablation-no_reliability,GraphSAGE,GCN,0.3536184210526316,0.004039243977053567,0.3342105263157894,0.010648956615946493,0.29889093431809094,0.02536151463492316,0.14103836288405008,0.0004121128738098125,0.4406757831573486,0.1972710498923275
Actor,GraCA-ablation-train_only,GAT,GCN,0.3064967105263158,0.0026584259663231303,0.29236842105263156,0.006718906016677248,0.21492162964344752,0.009319375393916791,0.14153638763550577,0.0004262455865111105,0.602075719833374,0.05324913276878032
Actor,GraCA-ablation-train_only,GCN,GCN,0.2953125,0.00710647186052006,0.28355263157894733,0.00823026052841897,0.207150786564383,0.017343879337968573,0.14153638763550577,0.0004262455865111105,0.3281124114990234,0.011174403866675262
Actor,GraCA-ablation-train_only,GraphSAGE,GCN,0.35468749999999993,0.003918134621569608,0.3276315789473684,0.007881018783362493,0.2991333322929331,0.016952512815591472,0.14153638763550577,0.0004262455865111105,0.45986075401306153,0.1887258419153982
Cora,GraCA-ablation-global_threshold,GAT,GCN,0.8131999999999999,0.007563068160475593,0.8202,0.0035637059362411,0.8096503770163842,0.003927019284441784,0.0,0.0,0.45904064178466797,0.12008499950381457
Cora,GraCA-ablation-global_threshold,GCN,GCN,0.778,0.013784048752090244,0.784,0.007648529270389163,0.7768606552413809,0.006792843047264997,0.0,0.0,0.470334529876709,0.035455116385133836
Cora,GraCA-ablation-global_threshold,GraphSAGE,GCN,0.7652,0.008786353054595526,0.768,0.00940744386111335,0.7614559549196895,0.008347367502497665,0.0,0.0,0.397658109664917,0.08572756950096382
Cora,GraCA-ablation-hard_pseudo,GAT,GCN,0.8176,0.011865917579353069,0.8192,0.009471008394041226,0.8096114945309173,0.00890023311959733,0.050947328533535396,0.0012716804997763736,0.43169269561767576,0.08385668653389726
Cora,GraCA-ablation-hard_pseudo,GCN,GCN,0.7772,0.011366617790706269,0.782,0.009137833441248529,0.775891199334511,0.006379559862973693,0.050947328533535396,0.0012716804997763736,0.5428014278411866,0.06930220202154279
Cora,GraCA-ablation-hard_pseudo,GraphSAGE,GCN,0.7644,0.007127411872482179,0.7628,0.009984988733093291,0.7587105564576075,0.007997152878301963,0.050947328533535396,0.0012716804997763736,0.3968505859375,0.11793565801176513
Cora,GraCA-ablation-harmful_only,GAT,GCN,0.8144,0.007668115805072266,0.8186,0.010667708282475654,0.8087741520230832,0.010852238915822394,0.02175066312997346,0.004243778073938146,0.5281563758850097,0.23359987516527364
Cora,GraCA-ablation-harmful_only,GCN,GCN,0.7816000000000001,0.012116104984688772,0.7834000000000001,0.006107372593840965,0.7755520372862876,0.004497020899823421,0.02175066312997346,0.004243778073938146,0.5664535999298096,0.0767339890029916
Cora,GraCA-ablation-harmful_only,GraphSAGE,GCN,0.7656000000000001,0.005366563145999499,0.7654,0.005594640292279743,0.7593657007357286,0.004337499823826093,0.02175066312997346,0.004243778073938146,0.40186491012573244,0.08844217499304603
Cora,GraCA-ablation-helpful_only,GAT,GCN,0.8131999999999999,0.006260990336999383,0.8221999999999999,0.0060166435825965234,0.8123483705173463,0.005802656645497503,0.04941265630920798,0.0021753518131385234,0.5556629180908204,0.19269287576697833
Cora,GraCA-ablation-helpful_only,GCN,GCN,0.7792,0.009757048734120406,0.7912000000000001,0.004604345773288549,0.7842298073936529,0.0028054753863775545,0.04941265630920798,0.0021753518131385234,0.5082282066345215,0.050715743524611244
Cora,GraCA-ablation-helpful_only,GraphSAGE,GCN,0.7632,0.006418722614352491,0.7658,0.008700574693662503,0.7608678340394428,0.008407842204176876,0.04941265630920798,0.0021753518131385234,0.4219519138336182,0.05452898567669423
Cora,GraCA-ablation-no_ema,GAT,GCN,0.8124,0.0071274118724821275,0.8108000000000001,0.009833615815151553,0.7998772711149644,0.013484947736350828,0.07701780977643043,0.006315563028801731,0.4527438163757324,0.1280683579091455
Cora,GraCA-ablation-no_ema,GCN,GCN,0.7788,0.012049896265113661,0.7828,0.005630275304103722,0.7733992933792961,0.00661625829210478,0.07701780977643043,0.006315563028801731,0.5041674137115478,0.14000259124249637
Cora,GraCA-ablation-no_ema,GraphSAGE,GCN,0.7644,0.00963327566303385,0.766,0.013928388277184116,0.7607683448152487,0.012273010526470392,0.07701780977643043,0.006315563028801731,0.404651403427124,0.06293876618490024
Cora,GraCA-ablation-no_reliability,GAT,GCN,0.8148,0.008786353054595485,0.8166,0.003435112807463482,0.8069412743839048,0.003828457202798838,0.08740053050397874,0.0015560429889675898,0.5269204139709472,0.10959322184804667
Cora,GraCA-ablation-no_reliability,GCN,GCN,0.7836000000000001,0.009316651759081716,0.7838,0.0057619441163551995,0.7772562648158093,0.005217153972961706,0.08740053050397874,0.0015560429889675898,0.5437300682067872,0.047940180715020916
Cora,GraCA-ablation-no_reliability,GraphSAGE,GCN,0.7708,0.007563068160475634,0.766,0.013509256086106336,0.7593592685172563,0.011182158623238693,0.08740053050397874,0.0015560429889675898,0.37285161018371576,0.06516444503870326
Cora,GraCA-ablation-train_only,GAT,GCN,0.8131999999999999,0.004604345773288482,0.817,0.009669539802906826,0.8090220971606664,0.00980283085715149,0.05096627510420611,0.0016746560751860296,0.46100363731384275,0.06934724312426377
Cora,GraCA-ablation-train_only,GCN,GCN,0.7816000000000001,0.00887693640846886,0.7888,0.004816637831516911,0.7832176594114755,0.0031812301341859555,0.05096627510420611,0.0016746560751860296,0.5229164123535156,0.0676354831375744
Cora,GraCA-ablation-train_only,GraphSAGE,GCN,0.7632,0.006260990336999403,0.7642,0.003492849839314627,0.7575065165227851,0.0034096415224327764,0.05096627510420611,0.0016746560751860296,0.3578560352325439,0.05550415746062936
PubMed,GraCA-ablation-global_threshold,GAT,GCN,0.796,0.0024494897427831683,0.774,0.00774596669241488,0.7681223928766601,0.006870171486513893,0.0,0.0,1.016415548324585,0.2476485489876585
PubMed,GraCA-ablation-global_threshold,GCN,GCN,0.7768,0.007563068160475635,0.765,0.009617692030835677,0.7609219026446431,0.011118727116434624,0.0,0.0,0.4839596748352051,0.10378206891021527
PubMed,GraCA-ablation-global_threshold,GraphSAGE,GCN,0.7772,0.012537942414926003,0.751,0.00578791845139511,0.7466717156130285,0.0073779324287778,0.0,0.0,0.6616263389587402,0.17250900509532835
PubMed,GraCA-ablation-hard_pseudo,GAT,GCN,0.8008000000000001,0.005019960159204447,0.7772,0.00535723809439156,0.7710647291472241,0.00539201775796217,0.01925593358000174,0.011217981315667388,1.1261996746063232,0.34800344853978576
PubMed,GraCA-ablation-hard_pseudo,GCN,GCN,0.7768,0.0079498427657407,0.7652,0.006648308055437874,0.7611863123944795,0.006582763702270076,0.01925593358000174,0.011217981315667388,0.4494195461273193,0.060515060194775955
PubMed,GraCA-ablation-hard_pseudo,GraphSAGE,GCN,0.7748,0.014324803663576005,0.752,0.005567764362830004,0.7479458919850005,0.0076617604770342395,0.01925593358000174,0.011217981315667388,0.6281553745269776,0.1879946265281199
PubMed,GraCA-ablation-harmful_only,GAT,GCN,0.7984,0.004335896677735749,0.7772,0.005805170109480012,0.7715738292092036,0.004202330172972226,0.0029194116054507002,0.0011237169465208555,1.0730087280273437,0.15927078564315014
PubMed,GraCA-ablation-harmful_only,GCN,GCN,0.7752000000000001,0.009121403400793145,0.7656000000000001,0.004159326868617074,0.7613116196456059,0.005105207660612982,0.0029194116054507002,0.0011237169465208555,0.47940974235534667,0.09134635150139332
PubMed,GraCA-ablation-harmful_only,GraphSAGE,GCN,0.7748,0.017810109488714563,0.7474000000000001,0.008080841540334775,0.7447144049483869,0.007659382928667976,0.0029194116054507002,0.0011237169465208555,0.5821980476379395,0.17056742353092366
PubMed,GraCA-ablation-helpful_only,GAT,GCN,0.8,0.005477225575051653,0.7758,0.002774887385102336,0.7692425478640349,0.0024833158913787233,0.0214894865084378,0.008966336343403401,0.9812953472137451,0.05894166642469543
PubMed,GraCA-ablation-helpful_only,GCN,GCN,0.776,0.007071067811865459,0.7652,0.004969909455915676,0.7604115575843398,0.004982203757944957,0.0214894865084378,0.008966336343403401,0.45996999740600586,0.06547102867270573
PubMed,GraCA-ablation-helpful_only,GraphSAGE,GCN,0.7756000000000001,0.012116104984688776,0.7468,0.00496990945591563,0.7426713782518986,0.006836942710176939,0.0214894865084378,0.008966336343403401,0.6383191585540772,0.1862613616401486
PubMed,GraCA-ablation-no_ema,GAT,GCN,0.7928000000000001,0.004147288270665548,0.7754000000000001,0.004615192303685759,0.7713043406124573,0.00466862931282726,0.10092049454020391,0.009540297198497446,1.0668509006500244,0.24412568354270126
PubMed,GraCA-ablation-no_ema,GCN,GCN,0.7716000000000001,0.014099645385611686,0.7605999999999999,0.009607288899580424,0.7560771285640291,0.00952412080970982,0.10092049454020391,0.009540297198497446,0.4661965847015381,0.09164419722901124
PubMed,GraCA-ablation-no_ema,GraphSAGE,GCN,0.778,0.01140175425099139,0.749,0.007314369419163901,0.7456680252915584,0.008108175232578346,0.10092049454020391,0.009540297198497446,0.5974431037902832,0.22526211361297135
PubMed,GraCA-ablation-no_reliability,GAT,GCN,0.798,0.0040000000000000036,0.7754000000000001,0.0018165902124584862,0.7715687466345852,0.002695225102331522,0.1072443822759678,0.0004153180622801226,0.9673651695251465,0.12591516985267953
PubMed,GraCA-ablation-no_reliability,GCN,GCN,0.7788,0.0070142711667000365,0.7654,0.00736885337077626,0.7611985123640486,0.007324271124037243,0.1072443822759678,0.0004153180622801226,0.46163406372070315,0.061439208379028096
PubMed,GraCA-ablation-no_reliability,GraphSAGE,GCN,0.7812,0.011009087155618335,0.7532,0.0034928498393145962,0.7500412841603774,0.004787472865144265,0.1072443822759678,0.0004153180622801226,0.7149182319641113,0.11639619766792271
PubMed,GraCA-ablation-train_only,GAT,GCN,0.8024000000000001,0.0021908902300206944,0.7762,0.007791020472312996,0.7700226837544307,0.007648466444605504,0.018509159823120618,0.005254787051033547,1.0761000156402587,0.17016132273344875
PubMed,GraCA-ablation-train_only,GCN,GCN,0.7744,0.006693280212272632,0.7664,0.0043931765272977805,0.7617661134760391,0.004797439988618148,0.018509159823120618,0.005254787051033547,0.45980310440063477,0.08708456900286747
PubMed,GraCA-ablation-train_only,GraphSAGE,GCN,0.7772,0.009654014708917726,0.7504,0.008080841540334742,0.7474364299572056,0.008741688163208977,0.018509159823120618,0.005254787051033547,0.5875965595245362,0.2204425821000993
