method,n,feature_scoring_mean,feature_scoring_std,probe_train_mean,probe_train_std,gradient_confidence_mean,gradient_confidence_std,stability_scoring_mean,stability_scoring_std,pruning_mean,pruning_std,downstream_train_mean,downstream_train_std,inference_eval_mean,inference_eval_std,total_mean,total_std,test_acc_mean,test_acc_std
Feature-only,15,0.005734634399414062,0.020951505348548703,0.0,0.0,0.0,0.0,0.0,0.0,1.514730405807495,1.3877962874167924,0.3855220635732015,0.1596464696303953,0.0,0.0,1.9059871037801106,1.4145242062269838,0.6089333333333333,0.04766620046392061
StabilityResidual-v5-dp0.15-grad-frozen,15,0.00018715858459472656,2.8288399216534797e-05,0.24608496030171711,0.15140955139507975,3.108845059076945,2.3089098957596774,2.8803075313568116,1.7172054563601744,1.4942001978556314,1.424258260005556,0.31263659795125326,0.12987651167524558,0.0,0.0,8.042261505126953,5.555876736918135,0.6258,0.05031500770148009
